Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gprus2017,2017-10-22,Evgenia MEDVEDEVA,RUS,231.21,1,80.75,1,150.46
2,gprus2017,2017-10-22,Carolina KOSTNER,ITA,215.98000000000002,2,74.62,2,141.36
3,gprus2017,2017-10-22,Wakaba HIGUCHI,JPN,207.17,3,69.6,3,137.57
4,gprus2017,2017-10-22,Elena RADIONOVA,RUS,195.51999999999998,5,68.75,4,126.77
5,gprus2017,2017-10-22,Kaori SAKAMOTO,JPN,194.0,4,68.88,5,125.12
6,gprus2017,2017-10-22,Mariah BELL,USA,188.56,7,63.85,6,124.71
7,gprus2017,2017-10-22,Valeriia MIKHAILOVA,RUS,185.09,8,63.38,8,121.71
8,gprus2017,2017-10-22,Elizabet TURSYNBAEVA,KAZ,184.95,6,63.92,9,121.03
9,gprus2017,2017-10-22,Mirai NAGASU,USA,178.25,9,56.15,7,122.1
10,gprus2017,2017-10-22,Nicole SCHOTT,GER,168.72,10,55.55,10,113.17
11,gprus2017,2017-10-22,Mae Berenice MEITE,FRA,160.96,11,54.24,12,106.72
12,gprus2017,2017-10-22,Anastasia GALUSTYAN,ARM,154.9,12,48.1,11,106.8
