Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gprus2017,2017-10-22,Nathan CHEN,USA,293.79,1,100.54,2,193.25
2,gprus2017,2017-10-22,Yuzuru HANYU,JPN,290.77,2,94.85,1,195.92
3,gprus2017,2017-10-22,Mikhail KOLYADA,RUS,271.06,4,85.79,3,185.27
4,gprus2017,2017-10-22,Misha GE,UZB,255.32999999999998,5,85.02,4,170.31
5,gprus2017,2017-10-22,Moris KVITELASHVILI,GEO,250.26,8,80.67,5,169.59
6,gprus2017,2017-10-22,Dmitri ALIEV,RUS,239.61,3,88.77,7,150.84
7,gprus2017,2017-10-22,Nam NGUYEN,CAN,238.45,7,80.74,6,157.71
8,gprus2017,2017-10-22,Deniss VASILJEVS,LAT,227.53,6,82.44,9,145.09
9,gprus2017,2017-10-22,Denis TEN,KAZ,214.35,10,69.0,8,145.35
10,gprus2017,2017-10-22,Andrei LAZUKIN,RUS,212.14,9,78.54,11,133.6
11,gprus2017,2017-10-22,Grant HOCHSTEIN,USA,206.09,11,67.56,10,138.53
12,gprus2017,2017-10-22,Daniel SAMOHIN,ISR,183.79,12,62.02,12,121.77
