Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gprus2017,2017-10-22,Maia SHIBUTANI / Alex SHIBUTANI,USA,189.24,1,77.3,1,111.94
2,gprus2017,2017-10-22,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,184.74,2,76.33,2,108.41
3,gprus2017,2017-10-22,Alexandra STEPANOVA / Ivan BUKIN,RUS,179.35,3,71.32,3,108.03
4,gprus2017,2017-10-22,Piper GILLES / Paul POIRIER,CAN,172.29000000000002,4,69.67,4,102.62
5,gprus2017,2017-10-22,Charlene GUIGNARD / Marco FABBRI,ITA,171.37,5,68.99,5,102.38
6,gprus2017,2017-10-22,Betina POPOVA / Sergey MOZGOV,RUS,164.01999999999998,6,64.14,6,99.88
7,gprus2017,2017-10-22,Rachel PARSONS / Michael PARSONS,USA,148.75,7,59.41,8,89.34
8,gprus2017,2017-10-22,Marie-Jade LAURIAULT / Romain LE GAC,FRA,147.19,8,55.64,7,91.55
9,gprus2017,2017-10-22,Alisa AGAFONOVA / Alper UCAR,TUR,140.79000000000002,10,53.11,9,87.68
10,gprus2017,2017-10-22,Nicole KUZMICHOVA / Alexandr SINICYN,CZE,136.81,9,54.39,10,82.42
