Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Evgenia MEDVEDEVA,RUS,229.71,1,78.92,1,150.79,2017-01-29,ec2017
2,Anna POGORILAYA,RUS,211.39,2,74.39,3,137.0,2017-01-29,ec2017
3,Carolina KOSTNER,ITA,210.52,3,72.4,2,138.12,2017-01-29,ec2017
4,Maria SOTSKOVA,RUS,192.52,4,72.17,5,120.35,2017-01-29,ec2017
5,Laurine LECAVELIER,FRA,188.1,5,63.81,4,124.29,2017-01-29,ec2017
6,Nicole RAJICOVA,SVK,179.7,7,60.98,6,118.72,2017-01-29,ec2017
7,Loena HENDRICKX,BEL,172.71,11,55.41,7,117.3,2017-01-29,ec2017
8,Ivett TOTH,HUN,172.65,6,61.49,8,111.16,2017-01-29,ec2017
9,Roberta RODEGHIERO,ITA,161.0,8,57.77,12,103.23,2017-01-29,ec2017
10,Nicole SCHOTT,GER,160.63,9,56.88,10,103.75,2017-01-29,ec2017
11,Emmi PELTONEN,FIN,160.57,14,53.52,9,107.05,2017-01-29,ec2017
12,Anastasia GALUSTYAN,ARM,155.14,10,56.4,14,98.74,2017-01-29,ec2017
13,Matilda ALGOTSSON,SWE,154.63,18,51.35,11,103.28,2017-01-29,ec2017
14,Joshi HELGESSON,SWE,152.86,13,53.93,13,98.93,2017-01-29,ec2017
15,Helery HÄLVIN,EST,146.68,16,51.72,15,94.96,2017-01-29,ec2017
16,Mae Berenice MEITE,FRA,145.07,12,54.96,19,90.11,2017-01-29,ec2017
17,Nathalie WEINZIERL,GER,143.4,22,48.7,17,94.7,2017-01-29,ec2017
18,Natasha MCKAY,GBR,140.85,24,45.97,16,94.88,2017-01-29,ec2017
19,Angelina KUCHVALSKA,LAT,139.63,20,49.05,18,90.58,2017-01-29,ec2017
20,Michaela-Lucie HANZLIKOVA,CZE,138.23,15,52.39,21,85.84,2017-01-29,ec2017
21,Anna KHNYCHENKOVA,UKR,136.57,21,48.93,20,87.64,2017-01-29,ec2017
22,Kerstin FRANK,AUT,132.08,17,51.47,24,80.61,2017-01-29,ec2017
23,Viveca LINDFORS,FIN,130.1,19,49.48,22,80.62,2017-01-29,ec2017
24,Anne Line GJERSEM,NOR,128.68,23,48.06,23,80.62,2017-01-29,ec2017
25,Julia SAUTER,ROU,45.59,25,45.59,DNQ,DNQ,2017-01-29,ec2017
26,Dasa GRM,SLO,43.48,26,43.48,DNQ,DNQ,2017-01-29,ec2017
27,Yasmine Kimiko YAMADA,SUI,42.33,27,42.33,DNQ,DNQ,2017-01-29,ec2017
28,Elzbieta KROPA,LTU,41.52,28,41.52,DNQ,DNQ,2017-01-29,ec2017
29,Antonina DUBININA,SRB,41.05,29,41.05,DNQ,DNQ,2017-01-29,ec2017
30,Colette Coco KAMINSKI,POL,39.83,30,39.83,DNQ,DNQ,2017-01-29,ec2017
31,Aimee BUCHANAN,ISR,38.49,31,38.49,DNQ,DNQ,2017-01-29,ec2017
32,Birce ATABEY,TUR,35.59,32,35.59,DNQ,DNQ,2017-01-29,ec2017
33,Valentina MATOS,ESP,34.79,33,34.79,DNQ,DNQ,2017-01-29,ec2017
34,Hristina VASSILEVA,BUL,24.55,34,24.55,DNQ,DNQ,2017-01-29,ec2017
