Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Nathan CHEN,USA,307.46,1,103.12,2,204.34,2017-02-19,fc2017
2,Yuzuru HANYU,JPN,303.71,3,97.04,1,206.67,2017-02-19,fc2017
3,Shoma UNO,JPN,288.05,2,100.28,3,187.77,2017-02-19,fc2017
4,Patrick CHAN,CAN,267.98,5,88.46,4,179.52,2017-02-19,fc2017
5,Boyang JIN,CHN,267.51,4,91.33,5,176.18,2017-02-19,fc2017
6,Jason BROWN,USA,245.85,9,80.77,6,165.08,2017-02-19,fc2017
7,Misha GE,UZB,239.41,8,81.85,8,157.56,2017-02-19,fc2017
8,Nam NGUYEN,CAN,237.08,13,72.99,7,164.09,2017-02-19,fc2017
9,Grant HOCHSTEIN,USA,235.72,7,81.94,9,153.78,2017-02-19,fc2017
10,Han YAN,CHN,235.45,6,84.08,10,151.37,2017-02-19,fc2017
11,Brendan KERRY,AUS,227.39,10,78.11,11,149.28,2017-02-19,fc2017
12,Kevin REYNOLDS,CAN,222.31,12,76.36,12,145.95,2017-02-19,fc2017
13,Keiji TANAKA,JPN,220.18,11,77.55,13,142.63,2017-02-19,fc2017
14,Michael Christian MARTINEZ,PHI,214.15,14,72.47,14,141.68,2017-02-19,fc2017
15,Julian Zhi Jie YEE,MAS,202.67,15,72.21,16,130.46,2017-02-19,fc2017
16,Sihyeong LEE,KOR,195.72,17,65.4,17,130.32,2017-02-19,fc2017
17,Jinseo KIM,KOR,195.05,18,64.26,15,130.79,2017-02-19,fc2017
18,June Hyoung LEE,KOR,187.58,16,67.55,18,120.03,2017-02-19,fc2017
19,Chih-I TSAO,TPE,169.63,22,51.02,19,118.61,2017-02-19,fc2017
20,Andrew DODDS,AUS,162.05,19,60.17,21,101.88,2017-02-19,fc2017
21,Mark WEBSTER,AUS,160.03,20,54.92,20,105.11,2017-02-19,fc2017
22,Leslie Man Cheuk IP,HKG,146.74,21,52.86,22,93.88,2017-02-19,fc2017
23,Kai Xiang CHEW,MAS,138.46,23,47.38,23,91.08,2017-02-19,fc2017
24,Micah TANG,TPE,135.79,24,46.41,24,89.38,2017-02-19,fc2017
25,Harry Hau Yin LEE,HKG,45.27,25,45.27,DNQ,DNQ,2017-02-19,fc2017
26,Harrison Jon-Yen WONG,HKG,45.12,26,45.12,DNQ,DNQ,2017-02-19,fc2017
