Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Tessa VIRTUE / Scott MOIR,CAN,196.95,1,79.75,1,117.2,2017-02-19,fc2017
2,Maia SHIBUTANI / Alex SHIBUTANI,USA,191.85,2,76.59,2,115.26,2017-02-19,fc2017
3,Madison CHOCK / Evan BATES,USA,185.58,3,74.67,3,110.91,2017-02-19,fc2017
4,Madison HUBBELL / Zachary DONOHUE,USA,180.82,4,73.79,6,107.03,2017-02-19,fc2017
5,Kaitlyn WEAVER / Andrew POJE,CAN,180.09,5,71.15,4,108.94,2017-02-19,fc2017
6,Piper GILLES / Paul POIRIER,CAN,170.14,7,61.21,5,108.93,2017-02-19,fc2017
7,Shiyue WANG / Xinyu LIU,CHN,154.23,6,61.45,7,92.78,2017-02-19,fc2017
8,Yura MIN / Alexander GAMELIN,KOR,144.69,8,59.01,8,85.68,2017-02-19,fc2017
9,Kana MURAMOTO / Chris REED,JPN,140.38,9,57.8,9,82.58,2017-02-19,fc2017
10,Hong CHEN / Yan ZHAO,CHN,128.55,11,51.34,10,77.21,2017-02-19,fc2017
11,Linshu SONG / Zhuoming SUN,CHN,124.59,10,51.6,11,72.99,2017-02-19,fc2017
12,Emi HIRAI / Marien DE LA ASUNCION,JPN,121.71,12,49.35,12,72.36,2017-02-19,fc2017
13,Hojung LEE / Richard Kang In KAM,KOR,112.42,13,44.57,13,67.85,2017-02-19,fc2017
14,Adele MORRISON / Demid ROKACHEV,AUS,96.35,14,37.87,14,58.48,2017-02-19,fc2017
15,Matilda FRIEND / William BADAOUI,AUS,89.29,16,32.75,15,56.54,2017-02-19,fc2017
16,Kimberley HEW-LOW / Timothy MCKERNAN,AUS,84.97,15,33.54,16,51.43,2017-02-19,fc2017
