8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Ashley WAGNER,USA,10,127.76,63.83,63.93,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,3F+2T+2T,,7.9,False,1.17,2,2,1,2,1,2,2,1,,9.07
2,2A+2T,,4.6,False,0.67,1,2,2,2,1,1,1,0,,5.27
3,3S,,4.2,False,0.7,1,1,1,2,0,1,1,1,,4.9
4,FSSp3,,2.6,False,0.67,2,1,1,1,1,2,2,1,,3.27
5,LSp4,,2.7,False,1.33,3,3,2,3,2,3,3,2,,4.03
6,3Lo,,5.61,True,1.4,2,3,2,3,1,2,2,1,,7.01
7,3Lz,e,6.6,True,-0.35,-1,0,-1,-1,0,0,-1,0,,6.25
8,3Lo+2A+SEQ,,7.39,True,0.0,0,0,0,-1,0,1,0,0,,7.39
9,StSq2,,2.6,False,0.83,2,2,1,2,1,2,2,1,,3.43
10,3F,,5.83,True,0.23,0,1,0,0,-1,1,1,0,,6.06
11,ChSq1,,2.0,False,1.4,2,3,2,2,2,2,2,2,,3.4
12,CCoSp3,,3.0,False,0.75,2,1,2,2,1,2,1,1,,3.75
,,,55.03,,,,,,,,,,,,63.83
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,8.0,8.0,8.0,8.25,7.0,8.5,8.25,8.0,,8.08
,Transition / Linking Footwork  ,,,,1.6,7.5,7.75,8.0,7.75,7.0,8.0,7.25,7.75,,7.67
,Performance / Execution  ,,,,1.6,8.0,8.0,8.25,8.25,7.25,8.5,8.0,7.75,,8.04
,Choreography / Composition  ,,,,1.6,7.75,8.25,8.5,8.25,7.5,8.5,8.0,8.0,,8.13
,Interpretation  ,,,,1.6,8.0,8.5,8.75,8.0,7.5,8.25,7.75,7.75,,8.04
,,,,,,,,,,,,,,,63.93
