Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Yu-Na KIM,KOR,187.98,1,76.28,2,111.7,2009-11-15,gpusa09
2,Rachael FLATT,USA,174.91,2,58.8,1,116.11,2009-11-15,gpusa09
3,Julia SEBESTYEN,HUN,159.03,3,58.54,3,100.49,2009-11-15,gpusa09
4,Fumie SUGURI,JPN,148.99,4,56.04,5,92.95,2009-11-15,gpusa09
5,Elena GLEBOVA,EST,148.71,5,52.28,4,96.43,2009-11-15,gpusa09
6,Elene GEDEVANISHVILI,GEO,144.19,6,52.18,6,92.01,2009-11-15,gpusa09
7,Emily HUGHES,USA,135.31,11,45.32,7,89.99,2009-11-15,gpusa09
8,Sarah HECKEN,GER,131.1,12,43.86,8,87.24,2009-11-15,gpusa09
9,Joshi HELGESSON,SWE,129.91,7,51.32,10,78.59,2009-11-15,gpusa09
10,Alexe GILLES,USA,129.01,10,46.56,9,82.45,2009-11-15,gpusa09
11,Susanna PÖYKIÖ,FIN,124.22,9,46.72,11,77.5,2009-11-15,gpusa09
12,Tugba KARADEMIR,TUR,122.4,8,49.42,12,72.98,2009-11-15,gpusa09
