Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Tanith BELBIN / Benjamin AGOSTO,USA,195.85,1,39.28,1,60.95,1,95.62,2009-11-15,gpusa09
2,Anna CAPPELLINI / Luca LANOTTE,ITA,171.86,3,32.04,2,54.09,3,85.73,2009-11-15,gpusa09
3,Alexandra ZARETSKI / Roman ZARETSKI,ISR,171.77,4,31.93,3,51.9,2,87.94,2009-11-15,gpusa09
4,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,168.25,2,36.94,5,49.53,4,81.78,2009-11-15,gpusa09
5,Kimberly NAVARRO / Brent BOMMENTRE,USA,160.89,5,30.19,4,51.28,6,79.42,2009-11-15,gpusa09
6,Madison CHOCK / Greg ZUERLEIN,USA,153.92,7,28.88,8,44.55,5,80.49,2009-11-15,gpusa09
7,Kristina GORSHKOVA / Vitali BUTIKOV,RUS,152.43,6,29.32,6,46.64,7,76.47,2009-11-15,gpusa09
8,Caitlin MALLORY / Kristjan RAND,EST,143.5,9,26.89,7,44.58,9,72.03,2009-11-15,gpusa09
9,Zoe BLANC / Pierre-Lup BOUQUET,FRA,140.71,10,24.39,10,42.66,8,73.66,2009-11-15,gpusa09
10,Xiaoyang YU / Chen WANG,CHN,135.62,8,27.43,9,44.15,10,64.04,2009-11-15,gpusa09
