Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Albena DENKOVA / Maxim STAVISKI,BUL,199.14,1,38.46,1,60.94,3,99.74,2006-03-26,wc2006
2,Marie-France DUBREUIL / Patrice LAUZON,CAN,198.69,2,38.31,3,59.81,1,100.57,2006-03-26,wc2006
3,Tanith BELBIN / Benjamin AGOSTO,USA,196.74,3,37.59,4,59.65,4,99.5,2006-03-26,wc2006
4,Margarita DROBIAZKO / Povilas VANAGAS,LTU,195.87,5,36.52,5,59.6,2,99.75,2006-03-26,wc2006
5,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,195.44,4,37.3,2,60.02,5,98.12,2006-03-26,wc2006
6,Galit CHAIT / Sergei SAKHNOVSKI,ISR,181.29,6,34.77,7,54.59,6,91.93,2006-03-26,wc2006
7,Oksana DOMNINA / Maxim SHABALIN,RUS,178.39,7,34.11,6,55.06,7,89.22,2006-03-26,wc2006
8,Federica FAIELLA / Massimo SCALI,ITA,172.1,9,32.6,10,51.42,8,88.08,2006-03-26,wc2006
9,Melissa GREGORY / Denis PETUKHOV,USA,171.06,10,32.37,9,52.24,10,86.45,2006-03-26,wc2006
10,Megan WING / Aaron LOWE,CAN,170.51,8,32.9,8,52.54,11,85.07,2006-03-26,wc2006
11,Sinead KERR / John KERR,GBR,167.83,12,30.02,11,51.32,9,86.49,2006-03-26,wc2006
12,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,162.15,11,31.1,16,46.54,12,84.51,2006-03-26,wc2006
13,Christina BEIER / William BEIER,GER,154.94,13,29.67,14,46.82,13,78.45,2006-03-26,wc2006
14,Kristin FRASER / Igor LUKANIN,AZE,154.28,14,29.4,13,46.92,15,77.96,2006-03-26,wc2006
15,Nathalie PECHALAT / Fabian BOURZAT,FRA,154.0,15,29.31,12,48.28,17,76.41,2006-03-26,wc2006
16,Morgan MATTHEWS / Maxim ZAVOZIN,USA,152.97,16,29.09,18,45.59,14,78.29,2006-03-26,wc2006
17,Nozomi WATANABE / Akiyuki KIDO,JPN,152.96,17,28.47,15,46.82,16,77.67,2006-03-26,wc2006
18,Nora HOFFMANN / Attila ELEK,HUN,150.78,18,28.47,17,46.1,18,76.21,2006-03-26,wc2006
19,Alexandra KAUC / Michal ZYCH,POL,144.21,19,26.82,20,44.24,19,73.15,2006-03-26,wc2006
20,Alexandra ZARETSKI / Roman ZARETSKI,ISR,140.14,24,25.49,22,43.52,20,71.13,2006-03-26,wc2006
21,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,139.72,21,26.03,21,43.7,21,69.99,2006-03-26,wc2006
22,Xiaoyang YU / Chen WANG,CHN,136.14,23,25.71,23,40.82,22,69.61,2006-03-26,wc2006
23,Elena ROMANOVSKAYA / Alexander GRACHEV,RUS,135.43,20,26.33,19,45.17,24,63.93,2006-03-26,wc2006
24,Alla BEKNAZAROVA / Vladimir ZUEV,UKR,132.0,22,25.72,24,40.56,23,65.72,2006-03-26,wc2006
25,Olga AKIMOVA / Alexander SHAKALOV,UZB,63.47,27,23.67,25,39.8,DNQ,DNQ,2006-03-26,wc2006
26,Laura MUNANA / Luke MUNANA,MEX,63.46,26,24.54,27,38.92,DNQ,DNQ,2006-03-26,wc2006
27,Kamila HAJKOVA / David VINCOUR,CZE,62.85,28,23.44,26,39.41,DNQ,DNQ,2006-03-26,wc2006
28,Natalie BUCK / Trent NELSON-BOND,AUS,57.58,29,21.41,28,36.17,DNQ,DNQ,2006-03-26,wc2006
29,Alisa ALLAPACH / Peter KONGKASEM,THA,56.1,30,21.22,29,34.88,DNQ,DNQ,2006-03-26,wc2006
WD,Anastasia GREBENKINA / Vazgen AZROJAN,ARM,25.17,25,25.17,WD,WD,WD,WD,2006-03-26,wc2006
