Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Wenjing SUI / Cong HAN,CHN,201.83,1,66.75,1,135.08,2012-12-02,fc2012
2,Caydee DENNEY / John COUGHLIN,USA,185.42,2,63.35,2,122.07,2012-12-02,fc2012
3,Mary Beth MARLEY / Rockne BRUBAKER,USA,178.89,3,62.42,3,116.47,2012-12-02,fc2012
4,Meagan DUHAMEL / Eric RADFORD,CAN,171.76,8,57.53,4,114.23,2012-12-02,fc2012
5,Narumi TAKAHASHI / Mervin TRAN,JPN,171.11,4,61.54,5,109.57,2012-12-02,fc2012
6,Amanda EVORA / Mark LADWIG,USA,167.99,5,60.75,6,107.24,2012-12-02,fc2012
7,Paige LAWRENCE / Rudi SWIEGERS,CAN,158.66,6,57.97,7,100.69,2012-12-02,fc2012
8,Jessica DUBE / Sebastien WOLFE,CAN,154.79,7,57.68,8,97.11,2012-12-02,fc2012
9,Yue ZHANG / Lei WANG,CHN,140.24,10,48.04,9,92.2,2012-12-02,fc2012
10,Huibo DONG / Yiming WU,CHN,137.91,9,49.52,10,88.39,2012-12-02,fc2012
