Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Tessa VIRTUE / Scott MOIR,CAN,182.84,2,71.6,1,111.24,2012-12-02,fc2012
2,Meryl DAVIS / Charlie WHITE,USA,179.4,1,72.15,2,107.25,2012-12-02,fc2012
3,Kaitlyn WEAVER / Andrew POJE,CAN,163.26,3,64.23,3,99.03,2012-12-02,fc2012
4,Maia SHIBUTANI / Alex SHIBUTANI,USA,158.29,4,63.38,4,94.91,2012-12-02,fc2012
5,Madison HUBBELL / Zachary DONOHUE,USA,129.2,5,49.93,5,79.27,2012-12-02,fc2012
6,Alexandra PAUL / Mitchell ISLAM,CAN,117.97,6,48.52,7,69.45,2012-12-02,fc2012
7,Xiaoyang YU / Chen WANG,CHN,115.05,7,45.42,6,69.63,2012-12-02,fc2012
8,Anna NAGORNYUK / Viktor KOVALENKO,UZB,107.61,9,39.93,8,67.68,2012-12-02,fc2012
9,Danielle OBRIEN / Gregory MERRIMAN,AUS,105.91,8,40.1,9,65.81,2012-12-02,fc2012
10,Corenne BRUHNS / Ryan VAN NATTEN,MEX,91.57,10,35.93,10,55.64,2012-12-02,fc2012
11,Cortney MANSOUR / Daryn ZHUNUSSOV,KAZ,78.66,11,25.53,11,53.13,2012-12-02,fc2012
