Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Javier FERNANDEZ,ESP,273.9,2,92.74,2,181.16,2015-03-29,wc2015
2,Yuzuru HANYU,JPN,271.08,1,95.2,3,175.88,2015-03-29,wc2015
3,Denis TEN,KAZ,267.72,3,85.89,1,181.83,2015-03-29,wc2015
4,Jason BROWN,USA,248.29,6,84.32,5,163.97,2015-03-29,wc2015
5,Nam NGUYEN,CAN,242.59,9,77.73,4,164.86,2015-03-29,wc2015
6,Misha GE,UZB,234.89,8,78.52,7,156.37,2015-03-29,wc2015
7,Maxim KOVTUN,RUS,230.7,16,70.82,6,159.88,2015-03-29,wc2015
8,Adam RIPPON,USA,229.71,11,75.14,8,154.57,2015-03-29,wc2015
9,Florent AMODIO,FRA,229.62,7,80.84,11,148.78,2015-03-29,wc2015
10,Han YAN,CHN,229.15,5,84.45,13,144.7,2015-03-29,wc2015
11,Joshua FARRIS,USA,223.04,13,73.52,10,149.52,2015-03-29,wc2015
12,Takahiko KOZUKA,JPN,222.69,19,70.15,9,152.54,2015-03-29,wc2015
13,Sergei VORONOV,RUS,218.41,4,84.7,17,133.71,2015-03-29,wc2015
14,Ronald LAM,HKG,214.36,14,72.66,14,141.7,2015-03-29,wc2015
15,Michal BREZINA,CZE,213.83,10,76.84,15,136.99,2015-03-29,wc2015
16,Takahito MURA,JPN,211.74,23,64.93,12,146.81,2015-03-29,wc2015
17,Alexei BYCHENKO,ISR,209.26,12,74.98,16,134.28,2015-03-29,wc2015
18,Chafik BESSEGHIER,FRA,199.86,18,70.27,19,129.59,2015-03-29,wc2015
19,June Hyoung LEE,KOR,197.52,24,64.51,18,133.01,2015-03-29,wc2015
20,Brendan KERRY,AUS,194.57,17,70.36,21,124.21,2015-03-29,wc2015
21,Michael Christian MARTINEZ,PHI,192.38,22,67.03,20,125.35,2015-03-29,wc2015
22,Jeremy TEN,CAN,183.79,15,72.28,22,111.51,2015-03-29,wc2015
23,Alexander MAJOROV,SWE,176.55,21,67.53,23,109.02,2015-03-29,wc2015
24,Yaroslav PANIOT,UKR,174.52,20,69.09,24,105.43,2015-03-29,wc2015
25,Ivan RIGHINI,ITA,63.05,25,63.05,DNQ,DNQ,2015-03-29,wc2015
26,Nan SONG,CHN,61.69,26,61.69,DNQ,DNQ,2015-03-29,wc2015
27,Petr COUFAL,CZE,60.31,27,60.31,DNQ,DNQ,2015-03-29,wc2015
28,Pavel IGNATENKO,BLR,58.78,28,58.78,DNQ,DNQ,2015-03-29,wc2015
29,Peter LIEBERS,GER,54.28,29,54.28,DNQ,DNQ,2015-03-29,wc2015
30,Stephane WALKER,SUI,53.42,30,53.42,DNQ,DNQ,2015-03-29,wc2015
