Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Gabriella PAPADAKIS / Guillaume CIZERON,FRA,184.28,4,71.94,1,112.34,2015-03-29,wc2015
2,Madison CHOCK / Evan BATES,USA,181.34,1,74.47,2,106.87,2015-03-29,wc2015
3,Kaitlyn WEAVER / Andrew POJE,CAN,179.42,2,72.68,3,106.74,2015-03-29,wc2015
4,Anna CAPPELLINI / Luca LANOTTE,ITA,177.5,3,72.39,4,105.11,2015-03-29,wc2015
5,Maia SHIBUTANI / Alex SHIBUTANI,USA,172.03,6,69.32,5,102.71,2015-03-29,wc2015
6,Piper GILLES / Paul POIRIER,CAN,165.22,7,65.9,6,99.32,2015-03-29,wc2015
7,Elena ILINYKH / Ruslan ZHIGANSHIN,RUS,164.84,5,69.46,9,95.38,2015-03-29,wc2015
8,Ksenia MONKO / Kirill KHALIAVIN,RUS,159.13,10,62.36,8,96.77,2015-03-29,wc2015
9,Alexandra STEPANOVA / Ivan BUKIN,RUS,156.95,14,59.62,7,97.33,2015-03-29,wc2015
10,Madison HUBBELL / Zachary DONOHUE,USA,156.56,11,61.43,10,95.13,2015-03-29,wc2015
11,Laurence FOURNIER BEAUDRY / Nikolaj SORENSEN,DEN,156.23,9,62.4,11,93.83,2015-03-29,wc2015
12,Charlene GUIGNARD / Marco FABBRI,ITA,153.84,12,61.02,12,92.82,2015-03-29,wc2015
13,Alexandra PAUL / Mitchell ISLAM,CAN,152.59,8,64.38,14,88.21,2015-03-29,wc2015
14,Sara HURTADO / Adria DIAZ,ESP,148.67,15,59.16,13,89.51,2015-03-29,wc2015
15,Federica TESTA / Lukas CSOLLEY,SVK,142.29,13,60.07,15,82.22,2015-03-29,wc2015
16,Alisa AGAFONOVA / Alper UCAR,TUR,136.47,16,56.07,16,80.4,2015-03-29,wc2015
17,Alexandra NAZAROVA / Maxim NIKITIN,UKR,133.8,17,55.08,17,78.72,2015-03-29,wc2015
18,Carolina MOSCHENI / Adam LUKACS,HUN,131.01,19,53.05,18,77.96,2015-03-29,wc2015
19,Shiyue WANG / Xinyu LIU,CHN,128.77,18,54.38,19,74.39,2015-03-29,wc2015
20,Allison REED / Vasili ROGOV,ISR,124.32,20,51.12,20,73.2,2015-03-29,wc2015
21,Barbora SILNA / Juri KURAKIN,AUT,49.57,21,49.57,DNQ,DNQ,2015-03-29,wc2015
22,Cathy REED / Chris REED,JPN,48.32,22,48.32,DNQ,DNQ,2015-03-29,wc2015
23,Irina SHTORK / Taavi RAND,EST,48.04,23,48.04,DNQ,DNQ,2015-03-29,wc2015
24,Natalia KALISZEK / Maksim SPODIREV,POL,45.46,24,45.46,DNQ,DNQ,2015-03-29,wc2015
25,Cecilia TÌÐRN / Jussiville PARTANEN,FIN,45.11,25,45.11,DNQ,DNQ,2015-03-29,wc2015
26,Rebeka KIM / Kirill MINOV,KOR,45.09,26,45.09,DNQ,DNQ,2015-03-29,wc2015
27,Olivia SMART / Joseph BUCKLAND,GBR,44.32,27,44.32,DNQ,DNQ,2015-03-29,wc2015
28,Viktoria KAVALIOVA / Yurii BIELIAIEV,BLR,43.21,28,43.21,DNQ,DNQ,2015-03-29,wc2015
29,Olga JAKUSHINA / Andrey NEVSKIY,LAT,42.37,29,42.37,DNQ,DNQ,2015-03-29,wc2015
WD,Nelli ZHIGANSHINA / Alexander GAZSI,GER,WD,WD,WD,WD,WD,2015-03-29,wc2015
