8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Madison CHOCK / Evan BATES,USA,8,102.66,48.8,53.86,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,CuLi4,,4.5,False,1.1,3,1,2,2,2,2,2,1,,5.6
2,SeSt3,,7.1,False,2.02,2,1,2,2,2,2,3,1,,9.12
3,STw4,,6.6,False,0.7,2,1,-1,2,1,1,0,2,,7.3
4,CoSp4,,5.6,False,1.2,1,2,2,2,2,2,3,2,,6.8
5,DiSt2,,5.6,False,1.28,1,1,1,1,1,1,2,2,,6.88
6,RoLi4,,4.5,False,1.1,1,2,2,1,2,2,2,2,,5.6
7,SlLi4,,4.5,False,1.3,2,2,2,2,3,2,3,2,,5.8
8,ChLi1,,0.6,False,1.1,2,1,2,2,2,2,3,1,,1.7
,,,39.0,,,,,,,,,,,,48.8
,Program Components,,,,Factor
,Skating Skills  ,,,,1.2,9.0,8.75,8.5,9.0,8.5,9.25,9.0,9.25,,8.92
,Linking Footwork / Movement  ,,,,1.2,8.75,8.5,8.5,8.75,8.25,9.0,9.25,9.25,,8.79
,Performance  ,,,,1.2,9.25,9.0,8.75,9.0,9.0,9.0,9.0,9.5,,9.04
,Choreography  ,,,,1.2,9.0,8.5,8.5,9.0,8.75,9.25,9.5,9.5,,9.0
,Interpretation / Timing  ,,,,1.2,9.25,9.0,8.75,9.25,8.25,9.25,9.25,9.25,,9.13
,,,,,,,,,,,,,,,53.86
