8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
7,Alexandra NAZAROVA / Maxim NIKITIN,UKR,2,85.07,41.82,44.25,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,CuLi4,,4.5,False,1.2,2,2,2,2,2,2,2,2,,5.7
2,CiSt2,,5.6,False,1.1,1,1,1,1,1,0,1,1,,6.7
3,SlLi4,,4.5,False,0.7,2,2,0,1,1,1,1,1,,5.2
4,STw4,,6.6,False,-0.33,0,1,-1,0,-1,-1,-1,-1,,6.27
5,Sp4,,5.6,False,0.7,2,1,1,2,1,1,1,1,,6.3
6,DiSt2,,5.6,False,0.55,1,0,1,1,0,0,1,0,,6.15
7,RoLi2,,3.0,False,0.7,1,1,1,1,1,2,1,2,,3.7
8,ChLi1,,0.6,False,1.2,2,1,1,3,2,2,2,3,,1.8
,,,36.0,,,,,,,,,,,,41.82
,Program Components,,,,Factor
,Skating Skills  ,,,,1.2,7.75,7.5,6.75,7.75,7.0,7.25,7.5,6.0,,7.29
,Linking Footwork / Movement  ,,,,1.2,8.0,7.0,7.0,7.5,6.75,6.75,7.5,6.75,,7.08
,Performance  ,,,,1.2,7.75,7.25,7.25,7.75,7.0,6.75,7.75,6.5,,7.29
,Choreography  ,,,,1.2,7.75,7.5,7.5,8.0,7.5,7.0,7.75,8.0,,7.67
,Interpretation / Timing  ,,,,1.2,8.0,7.5,7.25,8.0,7.5,6.75,7.75,7.25,,7.54
,,,,,,,,,,,,,,,44.25
Deduction,Extended lifts,-1.0
