Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpjpn2017,2017-11-12,Evgenia MEDVEDEVA,RUS,224.39,1,79.99,1,144.4
2,gpjpn2017,2017-11-12,Carolina KOSTNER,ITA,212.23999999999998,2,74.57,3,137.67
3,gpjpn2017,2017-11-12,Polina TSURSKAYA,RUS,210.19,3,70.04,2,140.15
4,gpjpn2017,2017-11-12,Mirai NAGASU,USA,194.45999999999998,5,65.17,4,129.29
5,gpjpn2017,2017-11-12,Satoko MIYAHARA,JPN,191.8,6,65.05,6,126.75
6,gpjpn2017,2017-11-12,Alena LEONOVA,RUS,190.95,7,63.61,5,127.34
7,gpjpn2017,2017-11-12,Rika HONGO,JPN,187.82999999999998,4,65.83,7,122.0
8,gpjpn2017,2017-11-12,Yuna SHIRAIWA,JPN,171.94,8,57.34,8,114.6
9,gpjpn2017,2017-11-12,Mariah BELL,USA,166.04000000000002,9,57.25,10,108.79
10,gpjpn2017,2017-11-12,Nicole RAJICOVA,SVK,159.78,10,53.36,11,106.42
11,gpjpn2017,2017-11-12,Alaine CHARTRAND,CAN,159.36,12,49.6,9,109.76
12,gpjpn2017,2017-11-12,Soyoun PARK,KOR,135.79,11,51.54,12,84.25
