Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpjpn2017,2017-11-12,Tessa VIRTUE / Scott MOIR,CAN,198.64,1,80.92,1,117.72
2,gpjpn2017,2017-11-12,Madison HUBBELL / Zachary DONOHUE,USA,188.35000000000002,2,76.31,2,112.04
3,gpjpn2017,2017-11-12,Anna CAPPELLINI / Luca LANOTTE,ITA,186.56,3,75.87,3,110.69
4,gpjpn2017,2017-11-12,Victoria SINITSINA / Nikita KATSALAPOV,RUS,177.14999999999998,4,72.49,4,104.66
5,gpjpn2017,2017-11-12,Laurence FOURNIER BEAUDRY / Nikolaj SORENSEN,DEN,164.4,6,65.34,5,99.06
6,gpjpn2017,2017-11-12,Alexandra NAZAROVA / Maxim NIKITIN,UKR,160.88,7,63.33,6,97.55
7,gpjpn2017,2017-11-12,Penny COOMES / Nicholas BUCKLAND,GBR,158.15,5,65.64,9,92.51
8,gpjpn2017,2017-11-12,Marie-Jade LAURIAULT / Romain LE GAC,FRA,157.62,8,62.79,7,94.83
9,gpjpn2017,2017-11-12,Kana MURAMOTO / Chris REED,JPN,156.41,9,61.82,8,94.59
10,gpjpn2017,2017-11-12,Misato KOMATSUBARA / Timothy KOLETO,JPN,132.41,10,53.83,10,78.58
