Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpjpn2017,2017-11-12,Sergei VORONOV,RUS,271.12,1,90.06,1,181.06
2,gpjpn2017,2017-11-12,Adam RIPPON,USA,261.99,4,84.95,2,177.04
3,gpjpn2017,2017-11-12,Alexei BYCHENKO,ISR,252.07,2,85.52,3,166.55
4,gpjpn2017,2017-11-12,Jason BROWN,USA,245.95,3,85.36,4,160.59
5,gpjpn2017,2017-11-12,Keegan MESSING,CAN,235.79999999999998,5,80.13,6,155.67
6,gpjpn2017,2017-11-12,Deniss VASILJEVS,LAT,234.8,8,76.51,5,158.29
7,gpjpn2017,2017-11-12,Kazuki TOMONO,JPN,231.93,6,79.88,7,152.05
8,gpjpn2017,2017-11-12,Dmitri ALIEV,RUS,223.45,7,77.51,9,145.94
9,gpjpn2017,2017-11-12,Michal BREZINA,CZE,220.45,9,76.24,10,144.21
10,gpjpn2017,2017-11-12,Nam NGUYEN,CAN,214.51,11,65.82,8,148.69
11,gpjpn2017,2017-11-12,Hiroaki SATO,JPN,199.2,10,75.95,11,123.25
