ISU GP NHK Trophy 2017,,,
Interpretation of the Music 1.60,8.25 7.75 8.25 8.50 8.25 7.25 8.50 8.00 8.00,,8.14
Judges Total Program Components Score (factored),,,64.13
Deductions:,,,0.00
ISU GP NHK Trophy 2017,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
5 Alexa SCIMECA KNIERIM / Chris KNIERIM,USA 5 126.65 61.91 64.74,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 3Tw3 6.20 2.00,3 3 3 3 2 2 3 3 3,,8.20
2 ChSq1 2.00 0.90,2 2 0 0 2 1 1 1 2,,2.90
3 3STh 4.50 1.50,2 2 2 3 3 2 2 2 2,,6.00
4 3S 4.40 -1.20,-2 -1 -2 -2 -2 -2 -1 -1 -2,,3.20
5 2T+2T+SEQ 2.08 -0.40,-2 -2 -2 -2 -2 -2 -2 -2 -2,,1.68
6 3Li4 4.50 0.64,2 1 1 1 1 1 2 1 2,,5.14
7 BiDs4 3.50 1.20,2 1 2 2 2 1 1 2 2,,4.70
8 5RLi4 7.50 0.90,2 1 1 1 2 1 1 2 1,,8.40
9 3FTh 5.50 1.40,3 2 2 1 3 1 2 2 2,,6.90
10 FCCoSp3V 2.50 -0.21,0 -1 -1 -2 -1 0 0 -1 -1,,2.29
11 5ALi4 7.50 0.50,1 1 1 -1 1 1 0 0 1,,8.00
12 PCoSp3 4.00 0.50,2 1 1 -1 1 1 1 1 1,,4.50
54.18,,,61.91
Program Components Factor,,,
Skating Skills 1.60,8.25 8.00 8.00 7.75 8.25 8.00 8.00 7.75 8.00,,8.00
Transitions 1.60,8.00 7.75 8.00 7.00 7.75 8.00 8.00 8.00 8.00,,7.93
Performance 1.60,8.50 8.25 8.25 7.75 8.00 8.25 7.75 7.75 8.25,,8.07
Composition 1.60,8.25 8.25 8.50 8.00 8.25 8.25 8.25 8.00 8.50,,8.25
Interpretation of the Music 1.60,8.50 8.00 8.50 8.00 8.00 8.25 8.25 8.25 8.25,,8.21
Judges Total Program Components Score (factored),,,64.74
Deductions:,,,0.00
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
6 Miriam ZIEGLER / Severin KIEFER,AUT 4 108.52 53.54 56.98,,2.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 3S 4.40 -1.20,-2 -2 -2 -2 -2 -1 -1 -2 -1,,3.20
2 3Tw1 5.40 -1.10,-2 -2 -1 -3 -2 -1 -1 -1 -2,,4.30
3 3T+COMBO 4.30 -2.10,-3 -3 -3 -3 -3 -3 -3 -3 -3,,2.20
4 5RLi4 7.50 0.20,1 0 0 0 0 1 0 0 1,,7.70
5 3FTh 5.50 0.40,1 1 0 0 1 1 0 -1 1,,5.90
6 BiDs3 3.20 0.70,1 0 1 2 1 1 1 1 1,,3.90
7 FCCoSp4 3.50 0.50,0 1 1 1 2 1 1 1 1,,4.00
8 5ALi4 7.50 0.70,1 1 1 1 1 1 1 0 1,,8.20
9 ChSq1 2.00 0.60,1 1 1 0 1 1 0 1 2,,2.60
10 3STh 4.50 -2.10,-3 -3 -3 -3 -3 -3 -3 -3 -3,,2.40
11 3Li4 4.50 0.57,2 1 1 1 1 1 1 0 2,,5.07
12 PCoSp3 4.00 0.07,0 0 0 0 0 0 0 1 1,,4.07
56.30,,,53.54
Program Components Factor,,,
Skating Skills 1.60,7.75 7.50 7.00 7.50 7.25 7.75 6.75 7.25 7.25,,7.36
Transitions 1.60,7.50 7.00 6.75 6.50 7.00 7.25 6.00 7.00 7.50,,7.00
Performance 1.60,7.25 7.00 6.75 6.50 6.75 7.00 6.50 7.00 7.25,,6.89
