ISU GP NHK Trophy 2017,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,
"",Total Total,Total,
Rank Name Nation Starting,Segment Element,Program,Deductions
Number,Score Score,Component,
"",= +,Score (factorized),-
1 Sergei VORONOV RUS,9 181.06 94.34,86.72,0.00
"# Executed Info Base GOE J1",J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 4T+3T 14.60 2.14 2,2 1 2 2 3 3 2 2,,16.74
2 3A 8.50 1.86 2,2 1 2 2 2 3 2 1,,10.36
3 4T 10.30 -1.20 0,-1 -1 -2 -2 -1 0 -2 1,,9.10
4 FCSp3 2.80 0.50 2,1 0 1 1 1 1 1 1,,3.30
5 ChSq1 2.00 1.10 2,2 1 1 1 2 2 2 1,,3.10
6 3A+2T+2Lo 12.76 X 1.43 2,1 1 1 1 2 2 2 1,,14.19
7 3Lz+2T 8.03 X 0.60 1,1 1 1 0 1 1 1 0,,8.63
8 3S 4.84 X 1.00 2,1 1 1 2 2 2 1 1,,5.84
9 3Lo 5.61 X 1.30 2,2 1 0 2 2 2 2 2,,6.91
10 2A 3.63 X 0.64 2,0 1 1 1 2 2 1 1,,4.27
11 StSq3 3.30 1.00 2,3 1 1 2 2 3 2 2,,4.30
12 CCoSp4 3.50 0.86 2,1 1 1 2 2 2 2 2,,4.36
13 CSSp3 2.60 0.64 1,2 1 1 1 2 2 1 1,,3.24
82.47,,,94.34
Program Components Factor,,,
Skating Skills 2.00 8.50 8.50,8.25 8.75 8.50 9.00 9.25 9.00 8.75,,8.71
Transitions 2.00 8.50 8.25,7.75 7.75 8.00 9.00 9.25 8.25 8.25,,8.29
Performance 2.00 9.00 8.50,8.50 8.75 8.25 9.50 9.75 9.00 9.00,,8.89
Composition 2.00 8.75 8.25,8.50 8.50 8.00 9.00 9.75 9.00 8.75,,8.68
Interpretation of the Music 2.00 9.00 8.50,8.25 8.75 8.75 9.25 9.50 8.75 8.50,,8.79
Judges Total Program Components Score (factored),,,86.72
Deductions:,,,0.00
"X Credit highlight distribution, base value multiplied by 1.1",,,
"",Total Total,Total,
Rank Name Nation Starting,Segment Element,Program,Deductions
Number,Score Score,Component,
"",= +,Score (factorized),-
2 Adam RIPPON USA,6 177.04 91.46,85.58,0.00
"# Executed Info Base GOE J1",J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 4Lz< < 9.50 -1.20 -1,-1 -1 -1 -1 -1 -1 -1 -1,,8.30
2 3F+2Lo 7.10 0.70 1,1 1 1 1 1 1 1 1,,7.80
3 3Lo 5.10 0.70 1,1 1 1 1 1 1 1 1,,5.80
4 FCSp4 3.20 0.86 2,2 1 2 2 1 1 2 2,,4.06
5 StSq4 3.90 1.30 2,1 2 2 3 2 1 2 2,,5.20
6 3A+2T+2Lo 12.76 X 1.29 1,1 1 1 2 1 2 2 1,,14.05
7 3A 9.35 X 0.29 0,0 -1 0 0 1 1 1 0,,9.64
8 3F+3T 10.56 X 0.60 0,1 1 0 1 1 1 1 1,,11.16
9 3S 4.84 X 0.50 1,1 0 0 1 1 1 0 1,,5.34
10 3Lz 6.60 X 1.20 2,2 1 1 2 2 2 1 2,,7.80
11 ChSq1 2.00 1.10 2,1 2 2 3 2 1 1 1,,3.10
12 FCCoSp4 3.50 1.14 3,2 2 2 2 3 3 2 2,,4.64
13 CCoSp4 3.50 1.07 3,2 2 2 3 2 2 2 2,,4.57
81.91,,,91.46
Program Components Factor,,,
Skating Skills 2.00 8.50 8.50,8.50 8.50 8.75 9.50 8.50 8.50 8.25,,8.54
Transitions 2.00 8.25 8.25,8.25 8.50 8.50 9.00 8.00 7.75 8.25,,8.29
Performance 2.00 8.75 8.50,8.75 9.00 9.25 9.50 8.50 8.50 8.50,,8.75
Composition 2.00 8.50 8.25,8.75 8.50 8.50 9.25 8.25 8.50 8.25,,8.46
Interpretation of the Music 2.00 8.75 8.50,9.00 9.00 9.00 9.25 8.50 8.50 8.50,,8.75
Judges Total Program Components Score (factored),,,85.58
Deductions:,,,0.00
"< Under-rotated jumpX Credit highlight distribution, base value multiplied by 1.1",,,
ISU GP NHK Trophy 2017,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,
"",Total Total,Total,
Rank Name Nation Starting,Segment Element,Program,Deductions
Number,Score Score,Component,
"",= +,Score (factorized),-
3 Alexei BYCHENKO ISR,10 166.55 85.85,80.70,0.00
"# Executed Info Base GOE J1",J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 4T+3T 14.60 0.14 0,0 1 0 -1 0 1 0 0,,14.74
