Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpchn2017,2017-11-05,Wenjing SUI / Cong HAN,CHN,231.07,1,80.14,1,150.93
2,gpchn2017,2017-11-05,Xiaoyu YU / Hao ZHANG,CHN,205.54,2,71.37,2,134.17
3,gpchn2017,2017-11-05,Kirsten MOORE-TOWERS / Michael MARINARO,CAN,194.52,4,62.52,3,132.0
4,gpchn2017,2017-11-05,Nicole DELLA MONICA / Matteo GUARISE,ITA,190.25,3,63.76,5,126.49
5,gpchn2017,2017-11-05,Valentina MARCHEI / Ondrej HOTAREK,ITA,188.01,5,59.53,4,128.48
6,gpchn2017,2017-11-05,Ashley CAIN / Timothy LEDUC,USA,154.35999999999999,7,53.15,6,101.21
7,gpchn2017,2017-11-05,Mingyang ZHANG / Bowen SONG,CHN,148.34,6,53.15,7,95.19
