Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpchn2017,2017-11-05,Alina ZAGITOVA,RUS,213.88,4,69.44,1,144.44
2,gpchn2017,2017-11-05,Wakaba HIGUCHI,JPN,212.52,2,70.53,2,141.99
3,gpchn2017,2017-11-05,Elena RADIONOVA,RUS,206.82,3,70.48,4,136.34
4,gpchn2017,2017-11-05,Mai MIHARA,JPN,206.07,7,66.9,3,139.17
5,gpchn2017,2017-11-05,Marin HONDA,JPN,198.32,6,66.9,5,131.42
6,gpchn2017,2017-11-05,Gabrielle DALEMAN,CAN,196.83,1,70.65,7,126.18
7,gpchn2017,2017-11-05,Elizaveta TUKTAMYSHEVA,RUS,196.68,5,67.1,6,129.58
8,gpchn2017,2017-11-05,Xiangning LI,CHN,174.82,8,59.2,8,115.62
9,gpchn2017,2017-11-05,Dabin CHOI,KOR,165.99,9,53.9,9,112.09
10,gpchn2017,2017-11-05,Amber GLENN,USA,151.14,10,52.61,10,98.53
11,gpchn2017,2017-11-05,Ziquan ZHAO,CHN,144.70999999999998,11,50.39,11,94.32
