Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,gpchn2017,2017-11-05,Gabriella PAPADAKIS / Guillaume CIZERON,FRA,200.43,1,81.1,1,119.33
2,gpchn2017,2017-11-05,Madison CHOCK / Evan BATES,USA,184.5,2,72.66,2,111.84
3,gpchn2017,2017-11-05,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,182.84,3,72.34,3,110.5
4,gpchn2017,2017-11-05,Tiffani ZAGORSKI / Jonathan GUERREIRO,RUS,164.41000000000003,4,67.62,4,96.79
5,gpchn2017,2017-11-05,Lorraine MCNAMARA / Quinn CARPENTER,USA,157.60999999999999,5,63.65,5,93.96
6,gpchn2017,2017-11-05,Shiyue WANG / Xinyu LIU,CHN,151.17,8,59.07,6,92.1
7,gpchn2017,2017-11-05,Elliana POGREBINSKY / Alex BENOIT,USA,150.47,7,59.32,7,91.15
8,gpchn2017,2017-11-05,Angelique ABACHKINA / Louis THAURON,FRA,144.89999999999998,6,59.91,8,84.99
9,gpchn2017,2017-11-05,Hong CHEN / Yan ZHAO,CHN,117.64,9,47.39,9,70.25
10,gpchn2017,2017-11-05,Xiaotong WANG / Kaige ZHAO,CHN,102.66,10,38.74,10,63.92
