ISU GP Skate Canada International 2012,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Javier FERNANDEZ ESP,10,168.07  85.15,,83.92,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3T  4.10 -2.10 -3 -3,-3,-3 -3 -3 -3,,-3 -3,2.00,
2 4S  10.50  1.71 2 1,2,3 2 2 1,,2 1,12.21,
3 3A  8.50  0.57 1 0,0,1 1 1 0,,0 1,9.07,
4 CSSp3  2.60  0.21 0 1,1,1 0 0 0,,1 0,2.81,
"",,Info,,,,Info
5 StSq4  3.90  1.50 2 2,2,3 2 2 3,,2 2,5.40,
6 4T+2T  12.76 x  0.71 0 1,1,1 1 0 1,,0 1,13.47,
7 3Lz+2T  8.03 x  0.10 2 0,0,0 1 0 0,,0 0,8.13,
8 3Lo  5.61 x  0.30 0 0,0,1 1 1 1,,0 0,5.91,
9 3F+1Lo+3S  11.00 x  0.50 1 0,0,2 2 1 1,,0 0,11.50,
10 FCCoSp3  3.00 -0.04 -1 0,0,0 0 0 0,,-1 0,2.96,
11 ChSq1  2.00  1.00 2 1,1,2 0 1 2,,1 3,3.00,
12 3S  4.62 x  0.50 1 0,-1,1 1 1 0,,1 1,5.12,
13 CCoSp3  3.00  0.57 1 1,1,1 1 0 2,,1 2,3.57,
79.62,,,,,85.15,
Program Components Factor,,,,,,
Skating Skills  2.00 8.25 8.00,8.25,8.50 8.00 7.75 8.25,,8.25 8.25,8.18,
Transition / Linking Footwork  2.00 8.75 8.00,8.25,8.50 7.75 7.50 8.00,,8.50 8.00,8.14,
Performance / Execution  2.00 8.50 8.50,8.50,9.00 7.75 8.25 8.25,,8.50 8.50,8.43,
Choreography / Composition  2.00 9.50 8.50,8.50,9.25 8.00 8.00 8.25,,9.00 8.50,8.57,
Interpretation  2.00 9.25 8.25,8.50,9.25 8.00 8.50 8.25,,8.75 9.00,8.64,
Judges Total Program Component Score (factored),,,,,83.92,
Deductions: Falls: -1.00,,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Patrick CHAN CAN,9,160.91  75.13,,86.78,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T+2T  11.60  0.71 1 1,0,1 1 1 2,,0 0,12.31,
2 4T  10.30 -1.43 -2 -1,-2,-2 -1 -1 -2,,-1 -1,8.87,
3 3Lz  6.00  0.90 1 1,2,1 1 2 1,,2 1,6.90,
4 StSq4  3.90  1.90 2 3,3,2 3 3 3,,3 1,5.80,
5 CCSp3  2.80  0.71 1 1,2,1 1 2 2,,2 1,3.51,
6 3A< <  6.60 x -3.00 -3 -3,-3,-3 -3 -3 -3,,-3 -3,3.60,
7 3Lo  5.61 x  1.20 2 2,1,2 1 2 2,,2 1,6.81,
8 3Lz+SEQ  5.28 x -1.40 -2 -2,-2,-2 -2 -2 -2,,-2 -2,3.88,
9 FSSp4  3.00  0.71 1 2,2,1 1 2 2,,1 1,3.71,
10 3F+1Lo+2S  7.81 x  0.50 1 1,1,0 0 1 1,,0 1,8.31,
11 ChSq1  2.00  1.30 1 2,1,1 2 2 3,,3 2,3.30,
12 2A  3.63 x  0.29 1 2,1,1 0 1 0,,0 0,3.92,
13 CCoSp4  3.50  0.71 2 1,2,1 1 2 1,,2 1,4.21,
72.03,,,,,75.13,
Program Components Factor,,,,,,
