Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Javier FERNANDEZ,ESP,253.94,1,85.87,1,168.07,2012-10-28,gpcan2012
2,Patrick CHAN,CAN,243.43,2,82.52,2,160.91,2012-10-28,gpcan2012
3,Nobunari ODA,JPN,238.34,3,82.14,3,156.2,2012-10-28,gpcan2012
4,Florent AMODIO,FRA,218.72,5,74.61,5,144.11,2012-10-28,gpcan2012
5,Ross MINER,USA,213.6,8,69.41,4,144.19,2012-10-28,gpcan2012
6,Denis TEN,KAZ,203.7,4,75.26,8,128.44,2012-10-28,gpcan2012
7,Elladj BALDE,CAN,199.94,6,72.46,9,127.48,2012-10-28,gpcan2012
8,Takahito MURA,JPN,199.74,9,62.1,6,137.64,2012-10-28,gpcan2012
9,Artur GACHINSKI,RUS,199.58,7,69.74,7,129.84,2012-10-28,gpcan2012
10,Liam FIRUS,CAN,169.67,10,60.5,10,109.17,2012-10-28,gpcan2012
