12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
32,Peter LIEBERS,GER,0,46.96,26.42,21.54,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3A,,7.5,False,-2.0,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,,5.5
2,3Lz+2T,,7.3,False,-1.0,-1,-1,-1,-1,0,-2,-1,-1,-1,-1,-1,-1,,6.3
3,FSSp3,,2.3,False,-0.04,-1,0,0,0,0,-1,0,0,0,-1,-1,0,,2.26
4,CiSt2,,2.3,False,-0.21,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,,2.09
5,3F,e,5.5,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.5
6,CCoSp2,,2.5,False,-0.04,0,0,0,0,0,-1,0,0,0,0,-1,-1,,2.46
7,SlSt3,,3.1,False,0.14,0,1,0,0,0,0,0,1,1,0,0,0,,3.24
8,CSSp2,,2.0,False,0.07,0,0,0,0,0,1,1,0,1,0,0,-1,,2.07
,,,32.5,,,,,,,,,,,,,,,,26.42
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,5.0,4.5,5.25,4.25,4.75,4.5,4.25,4.5,4.5,4.75,4.25,5.0,,4.61
,Transition / Linking Footwork  ,,,,1.0,4.75,4.0,4.75,4.0,4.25,4.5,4.0,4.0,4.0,4.0,3.75,4.0,,4.04
,Performance / Execution  ,,,,1.0,4.5,4.5,4.75,3.75,4.5,4.25,4.0,4.5,3.75,3.75,3.75,4.5,,4.21
,Choreography / Composition  ,,,,1.0,5.0,4.25,4.5,3.75,4.5,4.5,4.25,4.5,4.5,4.5,4.0,4.5,,4.43
,Interpretation  ,,,,1.0,4.75,4.25,4.75,4.0,4.25,4.25,4.25,4.25,4.25,4.25,4.0,4.25,,4.25
,,,,,,,,,,,,,,,,,,,21.54
Deduction,Falls,-1.0
