12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
39,Naiden BORICHEV,BUL,0,38.36,22.07,17.29,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3A,,7.5,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,4.5
2,3Lz+2T,,7.3,False,-0.71,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,,6.59
3,2F,e,1.7,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.7
4,CCoSp4,,3.5,False,0.0,0,0,0,0,0,-1,0,0,0,0,0,0,,3.5
5,FSSp1,,1.7,False,-0.56,-2,-1,-3,-2,-2,-2,-2,-2,-1,-2,-2,-2,,1.14
6,CiSt1,,1.8,False,0.0,0,0,0,-1,0,0,0,0,0,0,0,0,,1.8
7,CSSp3,,2.3,False,-0.26,0,-1,-1,-1,-1,-2,-1,0,0,-1,-1,-1,,2.04
8,SlSt1,,1.8,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,1.8
,,,27.6,,,,,,,,,,,,,,,,22.07
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,4.25,3.5,3.5,3.5,3.5,3.75,4.0,3.5,3.75,3.75,4.0,4.75,,3.71
,Transition / Linking Footwork  ,,,,1.0,4.0,3.0,2.5,3.25,3.0,3.5,3.25,3.0,3.5,2.75,3.25,4.5,,3.11
,Performance / Execution  ,,,,1.0,3.75,3.5,3.25,3.25,3.25,3.25,3.75,3.25,3.5,2.75,3.5,4.0,,3.43
,Choreography / Composition  ,,,,1.0,4.25,3.5,3.0,3.25,3.0,3.75,4.0,3.5,3.75,3.25,3.75,4.75,,3.54
,Interpretation  ,,,,1.0,3.75,3.5,3.25,3.25,3.25,3.5,4.0,3.0,3.75,3.0,3.75,4.5,,3.5
,,,,,,,,,,,,,,,,,,,17.29
Deduction,Falls,-1.0
