12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
37,Manuel KOLL,AUT,0,42.47,21.61,20.86,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3Lz+COMBO,,6.0,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.0
2,2F,e,1.7,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.7
3,2A,,3.5,False,0.0,1,0,0,0,0,0,0,0,0,0,0,0,,3.5
4,CiSt3,,3.1,False,0.0,1,0,0,0,0,0,0,1,0,0,0,0,,3.1
5,CSSp4,,3.0,False,0.07,0,0,0,0,0,0,0,1,1,0,0,0,,3.07
6,SlSt2,,2.3,False,0.07,1,1,0,0,0,0,0,0,0,0,0,1,,2.37
7,FSSp3,,2.3,False,0.0,0,0,0,0,0,0,0,0,0,0,1,0,,2.3
8,CCoSp4,,3.5,False,0.07,1,0,0,0,1,0,0,1,0,0,0,0,,3.57
,,,25.4,,,,,,,,,,,,,,,,21.61
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,4.75,4.25,4.5,4.25,4.5,4.25,4.25,4.25,4.25,4.25,4.0,5.25,,4.32
,Transition / Linking Footwork  ,,,,1.0,4.5,4.0,4.25,4.25,3.75,3.75,3.75,4.0,4.0,3.5,3.75,4.75,,3.93
,Performance / Execution  ,,,,1.0,4.25,4.0,4.5,4.5,4.0,4.0,4.0,4.0,4.0,3.75,4.25,4.75,,4.11
,Choreography / Composition  ,,,,1.0,4.75,4.25,4.5,4.25,4.25,3.75,4.0,4.25,4.25,4.0,4.25,4.75,,4.25
,Interpretation  ,,,,1.0,4.25,4.25,4.75,4.5,3.75,3.75,4.25,4.0,4.0,4.5,4.25,4.5,,4.25
,,,,,,,,,,,,,,,,,,,20.86
