ISU European Figure Skating Championships 2010,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
1 Carolina KOSTNER ITA  18,107.66  49.22,,,59.44,-1.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3F+3T !  9.50 -0.60 -1 0 -1,-1 0 -1 0,,,-1 -1,8.90,
2 3Lz  6.00  0.00 -2 1 0,-1 0 0 1,,,-1 0,6.00,
3 2A+2T  4.80  1.00 2 1 1,1 1 1 1,,,0 1,5.80,
4 FCoSp3  2.50  0.10 2 0 0,1 0 0 0,,,0 1,2.60,
"",,,Info,,,Info
5 SpSq3  3.10  0.80 3 1 2,2 3 2 2,,,1 1,3.90,
6 1F  0.55 x  0.00 -2 0 -1,0 1 0 0,,,0 0,0.55,
7 3Lo  5.50 x -3.00 -3 -3 -3,-3 -3 -3 -3,,,-3 -3,2.50,
8 2A  3.85 x -0.16 -1 0 0,0 -2 -1 0,,,-1 0,3.69,
9 3S+2T  6.38 x -0.60 -1 0 -1,-1 -1 0 -1,,,0 0,5.78,
10 FSSp4  3.00  0.00 0 0 0,0 -1 0 0,,,0 0,3.00,
11 SlSt3  3.30  0.70 2 1 1,2 2 1 1,,,1 2,4.00,
12 CCoSp2  2.50  0.00 1 0 0,0 0 0 -1,,,0 0,2.50,
50.98,,,,,49.22,
Program Components Factor,,,,,,
Skating Skills  1.60 7.75 7.75 7.00,7.50 8.00 7.50 7.50,,7.00,7.50,7.45,
Transition / Linking Footwork  1.60 7.50 7.75 6.75,7.25 7.50 7.00 7.25,,6.25,7.25,7.20,
Performance / Execution  1.60 7.25 8.00 7.00,7.50 7.75 7.25 7.50,,7.00,7.50,7.45,
Choreography / Composition  1.60 7.75 8.00 7.25,7.75 8.00 7.00 7.50,,6.25,7.25,7.55,
Interpretation  1.60 7.75 8.00 7.00,7.75 7.25 6.75 7.75,,7.00,7.75,7.50,
Judges Total Program Component Score (factored),,,,,59.44,
Deductions: Falls: -1.00,,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1!  Jump take off with wrong edge (short)",,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
2 Elene GEDEVANISHVILI GEO  16,103.72  50.20,,,53.52,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3Lz  6.00 -2.00 -2 -2 -2,-2 -2 -1 -2,,,-2 -1,4.00,
2 3T+3T+2T  9.30  0.20 1 0 1,0 1 1 0,,,0 0,9.50,
3 2S  1.30 -0.68 -2 -2 -2,-2 -3 -2 -2,,,-2 -3,0.62,
4 2A+2T  4.80  0.40 0 1 0,0 1 0 0,,,0 1,5.20,
5 FCCoSp3  3.00  0.40 1 0 0,0 1 1 1,,,1 2,3.40,
6 FSSp2  2.30  0.10 0 0 0,0 1 1 1,,,0 0,2.40,
7 3S  4.95 x  0.20 1 0 1,1 0 1 0,,,0 0,5.15,
8 2A+2T  5.28 x  0.20 0 0 0,1 0 1 0,,,0 1,5.48,
9 SlSt2  2.30  0.50 1 1 1,1 1 2 1,,,1 2,2.80,
10 SpSq3  3.10  0.50 1 1 1,0 1 2 1,,,1 2,3.60,
11 2A  3.85 x  0.60 0 0 1,1 1 1 1,,,0 1,4.45,
12 CCoSp4  3.50  0.10 -1 0 0,0 0 0 0,,,1 1,3.60,
49.68,,,,,50.20,
Program Components Factor,,,,,,
