Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Oksana DOMNINA / Maxim SHABALIN,RUS,199.25,1,42.78,2,61.49,2,94.98,2010-01-24,ec2010
2,Federica FAIELLA / Massimo SCALI,ITA,195.86,3,37.47,1,61.68,1,96.71,2010-01-24,ec2010
3,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,189.67,2,37.87,4,58.59,3,93.21,2010-01-24,ec2010
4,Nathalie PECHALAT / Fabian BOURZAT,FRA,188.51,5,36.36,3,60.08,4,92.07,2010-01-24,ec2010
5,Sinead KERR / John KERR,GBR,184.05,4,36.76,5,57.05,5,90.24,2010-01-24,ec2010
6,Anna CAPPELLINI / Luca LANOTTE,ITA,176.1,6,35.93,9,52.83,6,87.34,2010-01-24,ec2010
7,Alexandra ZARETSKY / Roman ZARETSKY,ISR,174.91,7,34.63,6,55.92,9,84.36,2010-01-24,ec2010
8,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,171.28,9,32.6,7,54.3,8,84.38,2010-01-24,ec2010
9,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,171.26,8,33.33,8,53.03,7,84.9,2010-01-24,ec2010
10,Nora HOFFMANN / Maxim ZAVOZIN,HUN,163.21,11,31.53,11,50.02,10,81.66,2010-01-24,ec2010
11,Alla BEKNAZAROVA / Vladimir ZUEV,UKR,162.82,10,32.15,10,51.22,12,79.45,2010-01-24,ec2010
12,Pernelle CARRON / Lloyd JONES,FRA,159.52,12,29.96,12,49.85,11,79.71,2010-01-24,ec2010
13,Caitlin MALLORY / Kristjan RAND,EST,155.93,15,29.16,15,47.33,13,79.44,2010-01-24,ec2010
14,Zoe BLANC / Pierre-Lup BOUQUET,FRA,147.56,17,27.82,13,48.8,14,70.94,2010-01-24,ec2010
15,Christina BEIER / William BEIER,GER,147.36,13,29.41,14,48.45,16,69.5,2010-01-24,ec2010
16,Penny COOMES / Nicholas BUCKLAND,GBR,145.91,16,28.63,16,46.98,15,70.3,2010-01-24,ec2010
17,Kira GEIL / Dmitri MATSJUK,AUT,71.73,14,29.16,19,42.57,DNQ,DNQ,2010-01-24,ec2010
18,Kamila HAJKOVA / David VINCOUR,CZE,71.21,18,25.88,17,45.33,DNQ,DNQ,2010-01-24,ec2010
19,Allison REED / Otar JAPARIDZE,GEO,66.28,22,22.59,18,43.69,DNQ,DNQ,2010-01-24,ec2010
20,Nikola VISNOVA / Lukas CSOLLEY,SVK,64.57,21,22.61,20,41.96,DNQ,DNQ,2010-01-24,ec2010
21,Katelyn GOOD / Nikolaj SORENSEN,DEN,63.13,20,22.84,21,40.29,DNQ,DNQ,2010-01-24,ec2010
22,Federica TESTA / Christopher MIOR,ITA,61.88,19,23.31,24,38.57,DNQ,DNQ,2010-01-24,ec2010
23,Nikki GEORGIADIS / Graham HOCKLEY,GRE,59.98,24,21.18,23,38.8,DNQ,DNQ,2010-01-24,ec2010
24,Oksana KLIMOVA / Sasha PALOMÃ„KI,FIN,59.85,25,20.99,22,38.86,DNQ,DNQ,2010-01-24,ec2010
25,Ramona ELSENER / Florian ROOST,SUI,59.28,23,21.84,25,37.44,DNQ,DNQ,2010-01-24,ec2010
26,Lesia VALADZENKAVA / Vitali VAKUNOV,BLR,50.11,26,17.08,26,33.03,DNQ,DNQ,2010-01-24,ec2010
WD,Virginiya HOPTMAN / Pavel FILCHENKOV,AZE,WD,WD,WD,WD,WD,WD,WD,2010-01-24,ec2010
