Cup of China,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
NOC,,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
Code,,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Yu-Na KIM KOR,,,122.36  65.56,,,56.80,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3F+3T  9.50  2.00 2 2 2,2,,2 2 2 2,,2,2 - -,11.50
2 3Lo  5.00  0.80 1 1 1,1,,0 1 1 1,,1,0 - -,5.80
3 FSSp3  2.30  0.40 1 1 1,1,,0 1 1 2,,0,1 - -,2.70
4 3Lz+2T+2Lo  8.80  1.00 1 1 2,1,,1 2 1 2,,1,1 - -,9.80
5 SpSq4  3.40  0.80 1 1 1,1,,0 1 1 1,,1,0 - -,4.20
6 2A+3T  7.50  0.80 1 1 1,1,,0 0 1 1,,0,1 - -,8.30
7 FCCoSp4  3.50  0.50 1 1 1,2,,1 1 1 2,,0,1 - -,4.00
8 1Lz  0.66 x  0.00 0 0 0,0,,0 0 0 0,,0,0 - -,0.66
9 3S  4.95 x  0.80 1 1 0,1,,1 1 1 1,,1,0 - -,5.75
10 CSSp3  2.30  0.20 0 1 0,1,,0 1 1 1,,0,1 - -,2.50
11 SlSt1  1.80  0.40 1 1 1,1,,0 1 0 2,,1,1 - -,2.20
12 2A  3.85 x  1.00 2 1 1,2,,1 2 1 2,,1,1 - -,4.85
13 CCoSp3  3.00  0.30 0 1 1,1,,0 1 1 2,,0,1 - -,3.30
56.56,,,,,,,65.56
Program Components Factor,,,,,,,
Skating Skills  1.60 7.75 7.75 6.75,7.50,,6.75 7.75 7.75 7.75,,7.00,7.50 - -,7.35
Transition / Linking Footwork  1.60 6.75 7.00 6.75,7.25,,6.00 7.00 7.25 7.50,,6.00,7.00 - -,6.70
Performance / Execution  1.60 7.50 7.50 6.50,7.25,,6.25 7.50 7.50 8.00,,6.50,8.00 - -,7.10
Choreography / Composition  1.60 7.25 7.50 7.00,7.50,,6.50 7.75 7.50 7.75,,6.50,7.50 - -,7.15
Interpretation  1.60 7.50 7.50 6.75,7.50,,6.75 7.50 7.75 8.00,,6.25,7.50 - -,7.20
Judges Total Program Component Score (factored),,,,,,,56.80
Deductions:,,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
NOC,,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
Code,,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Caroline ZHANG USA,,,97.58  51.34,,,48.24,2.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3F+3T  9.50  0.60 0 1 0,-1,,1 1 0 1,,1,1 - -,10.10
2 3Lz+2T e  7.30 -1.00 -1 -1 0,-2,,-1 -2 -1 -1,,-1,-1 - -,6.30
3 2A  3.50  0.00 0 0 1,0,,0 1 0 0,,0,0 - -,3.50
4 2A  3.50  0.00 1 0 0,0,,0 0 0 0,,0,0 - -,3.50
5 FSSp2  2.00  0.10 0 1 0,0,,0 1 0 1,,1,0 - -,2.10
6 CoSp4  3.00  0.40 1 1 1,1,,1 1 1 1,,0,0 - -,3.40
7 3F<  1.87 x -1.00 -3 -3 -3,-3,,-3 -3 -3 -3,,-3,-3 - -,0.87
8 SpSq2  2.30  0.80 2 1 1,2,,2 2 1 2,,2,2 - -,3.10
9 3Lo+2T+2Lo  8.58 x  0.00 -1 1 0,-1,,0 0 0 0,,0,0 - -,8.58
10 3Lz< e  2.09 x -1.00 -3 -3 -3,-3,,-3 -3 -3 -3,,-3,-3 - -,1.09
11 CiSt1  1.80  0.10 0 1 0,0,,0 0 0 1,,1,0 - -,1.90
12 LSp4  2.60  1.10 2 2 1,3,,3 3 1 3,,3,3 - -,3.70
13 CCoSp2  2.50  0.70 2 1 1,1,,1 2 1 2,,2,2 - -,3.20
50.54,,,,,,,51.34
Program Components Factor,,,,,,,
Skating Skills  1.60 6.00 6.25 6.50,6.00,,6.50 7.00 6.25 6.75,,6.25,5.50 - -,6.25
