Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Tanith BELBIN / Benjamin AGOSTO,USA,195.11,2,35.89,2,60.81,1,98.41,2007-11-11,gpchn07
2,Oksana DOMNINA / Maxim SHABALIN,RUS,188.66,1,38.77,1,62.2,3,87.69,2007-11-11,gpchn07
3,Federica FAIELLA / Massimo SCALI,ITA,181.1,3,33.54,3,56.94,2,90.62,2007-11-11,gpchn07
4,Alexandra ZARETSKI / Roman ZARETSKI,ISR,161.86,4,30.81,4,52.26,4,78.79,2007-11-11,gpchn07
5,Sinead KERR / John KERR,GBR,152.99,5,29.52,5,48.93,6,74.54,2007-11-11,gpchn07
6,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,150.18,7,27.04,6,47.51,5,75.63,2007-11-11,gpchn07
7,Xintong HUANG / Xun ZHENG,CHN,139.09,6,27.05,8,41.01,7,71.03,2007-11-11,gpchn07
8,Zoe BLANC / Pierre-Loup BOUQUET,FRA,132.96,8,24.79,7,43.36,8,64.81,2007-11-11,gpchn07
9,Jiameimei GUO / Fei MENG,CHN,112.69,10,19.59,10,35.07,9,58.03,2007-11-11,gpchn07
10,Lu LIU / Bin SUO,CHN,108.78,9,20.25,9,35.14,10,53.39,2007-11-11,gpchn07
