Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,196.91,1,37.43,1,62.17,1,97.31,2009-01-25,ec2009
2,Federica FAIELLA / Massimo SCALI,ITA,186.17,2,36.03,2,59.03,4,91.11,2009-01-25,ec2009
3,Sinead KERR / John KERR,GBR,185.2,3,34.89,3,57.71,3,92.6,2009-01-25,ec2009
4,Nathalie PECHALAT / Fabian BOURZAT,FRA,184.84,4,34.38,4,57.56,2,92.9,2009-01-25,ec2009
5,Anna CAPPELLINI / Luca LANOTTE,ITA,172.67,7,32.58,6,54.38,5,85.71,2009-01-25,ec2009
6,Pernelle CARRON / Matthieu JOST,FRA,168.03,6,33.21,5,56.18,7,78.64,2009-01-25,ec2009
7,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,160.62,9,30.45,9,50.07,6,80.1,2009-01-25,ec2009
8,Ekaterina RUBLEVA / Ivan SHEFER,RUS,156.43,12,29.04,10,49.97,9,77.42,2009-01-25,ec2009
9,Kristin FRASER / Igor LUKANIN,AZE,156.0,11,29.94,11,49.65,10,76.41,2009-01-25,ec2009
10,Katherine COPELY / Deividas STAGNIUNAS,LTU,155.57,15,27.24,8,50.17,8,78.16,2009-01-25,ec2009
11,Alexandra ZARETSKI / Roman ZARETSKI,ISR,155.56,10,30.16,7,51.65,11,73.75,2009-01-25,ec2009
12,Carolina HERMANN / Daniel HERMANN,GER,146.0,14,28.4,15,45.75,12,71.85,2009-01-25,ec2009
13,Alla BEKNAZAROVA / Vladimir ZUEV,UKR,145.01,13,28.77,13,46.08,13,70.16,2009-01-25,ec2009
14,Caitlin MALLORY / Kristian RAND,EST,139.03,19,24.22,16,45.7,14,69.11,2009-01-25,ec2009
15,Barbora SILNA / Dmitri MATSJUK,AUT,138.46,17,26.1,14,46.02,19,66.34,2009-01-25,ec2009
16,Isabella PAJARDI / Stefano CARUSO,ITA,138.1,18,24.52,17,45.48,15,68.1,2009-01-25,ec2009
17,Kamila HAJKOVA / David VINCOUR,CZE,137.87,16,26.66,19,44,16,67.21,2009-01-25,ec2009
18,Christina CHITWOOD / Mark HANRETTY,GBR,134.98,20,23.75,18,44.56,17,66.67,2009-01-25,ec2009
19,Terra FINDLAY / Benoit RICHAUD,FRA,131.23,21,23.56,20,43.37,20,64.3,2009-01-25,ec2009
20,Joanna BUDNER / Jan MOSCICKI,POL,128.73,22,22.99,22,39.18,18,66.56,2009-01-25,ec2009
21,Leonie KRAIL / Oscar PETER,SUI,122.19,23,22.88,23,37.9,21,61.41,2009-01-25,ec2009
22,Oksana KLIMOVA / Sasha PALOMAKI,FIN,120.61,24,21.43,21,39.29,22,59.89,2009-01-25,ec2009
23,Ksenia SHMIRINA / Egor MAISTROV,BLR,110.85,25,20.91,24,34.38,23,55.56,2009-01-25,ec2009
24,Nora HOFFMANN / Maxim ZAVOZIN,HUN,77.96,8,31.13,12,46.83,DNQ,DNQ,2009-01-25,ec2009
25,Ina DEMIREVA / Juri KURAKIN,BUL,48.46,26,17.15,25,31.31,DNQ,DNQ,2009-01-25,ec2009
26,Christa GOULAKOS / Bradley YAEGER,GRE,45.28,27,15.83,26,29.45,DNQ,DNQ,2009-01-25,ec2009
27,Nadine AHMED / Bruce PORTER,AZE,42.08,28,15.1,27,26.98,DNQ,DNQ,2009-01-25,ec2009
WD,Oksana DOMNINA / Maxim SHABALIN,RUS,33.53,5,33.53,WD,WD,WD,WD,2009-01-25,ec2009
