ISU GP Cup of China 2012,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Tatsuki MACHIDA JPN,8,153.44  76.66,,77.78,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3A  8.50  1.14 2 1,1,0 1 1 1,,1 2,9.64,
2 4T  10.30 -3.00 -3 -3,-3,-3 -3 -3 -3,,-3 -3,7.30,
3 3Lz+3T  10.10  0.30 1 0,0,0 0 1 2,,0 1,10.40,
4 FSSp4  3.00  0.50 1 1,0,1 1 2 1,,1 1,3.50,
"",,Info,,,,Info
5 StSq3  3.30  0.79 1 2,2,1 2 1 2,,1 2,4.09,
6 3A+SEQ  7.48 x -1.57 -1 -2,-1,-1 -2 -2 -1,,-2 -2,5.91,
7 CCSp1  2.00  0.29 1 0,0,1 2 0 1,,1 0,2.29,
8 3Lo  5.61 x  0.70 1 1,1,1 2 1 1,,1 0,6.31,
9 3Lz  6.60 x  0.90 1 1,2,1 2 2 1,,1 1,7.50,
10 3F+2T  7.26 x  0.60 1 1,1,0 0 1 2,,1 1,7.86,
11 3S  4.62 x  0.90 0 2,1,0 2 2 1,,2 1,5.52,
12 ChSq1  2.00  0.70 1 1,1,0 1 1 1,,1 1,2.70,
13 CCoSp4  3.50  0.14 1 0,0,0 0 0 1,,1 0,3.64,
74.27,,,,,76.66,
Program Components Factor,,,,,,
Skating Skills  2.00 7.50 7.75,7.75,8.00 7.75 7.75 8.00,,7.75 7.50,7.75,
Transition / Linking Footwork  2.00 7.25 6.75,7.50,7.75 7.25 7.75 7.50,,7.25 7.25,7.39,
Performance / Execution  2.00 7.50 7.75,7.75,8.25 8.00 8.00 8.25,,7.75 7.75,7.89,
Choreography / Composition  2.00 8.00 7.50,8.00,8.50 7.50 7.75 8.25,,7.50 8.00,7.86,
Interpretation  2.00 8.25 7.25,8.00,8.00 7.75 8.25 8.50,,7.50 8.25,8.00,
Judges Total Program Component Score (factored),,,,,77.78,
Deductions: Falls: -1.00,,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Daisuke TAKAHASHI JPN,9,146.96  65.30,,82.66,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T<< <<  4.10 -2.00 -3 -3,-3,-3 -3 -2 -3,,-2 -3,2.10,
2 4T<+1T <  7.60 -2.43 -3 -3,-2,-3 -2 -1 -2,,-2 -3,5.17,
3 3A  8.50  1.71 2 2,1,2 2 1 3,,1 2,10.21,
4 FCCoSp4  3.50  0.57 2 2,1,1 1 1 1,,1 1,4.07,
5 StSq4  3.90  1.40 2 2,2,2 2 1 3,,2 2,5.30,
6 FUSp4  2.90  0.64 2 1,2,1 1 1 2,,1 1,3.54,
7 3Lz+2T  8.03 x -0.20 0 -1,0,-1 0 0 0,,-1 0,7.83,
8 3A+SEQ  7.48 x -2.00 -2 -2,-2,-2 -3 -2 -2,,-2 -2,5.48,
9 3S  4.62 x  1.20 1 1,2,2 2 2 2,,1 2,5.82,
10 3Lo< <  3.96 x -2.10 -3 -3,-3,-3 -3 -3 -3,,-3 -3,1.86,
11 3F  5.83 x  0.30 0 0,1,1 0 0 2,,1 0,6.13,
12 ChSq1  2.00  1.50 2 2,2,2 2 1 3,,2 3,3.50,
13 CCoSp4  3.50  0.79 2 2,2,2 1 0 1,,1 2,4.29,
