Cup of China 2006,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Xue SHEN / Hongbo ZHAO,CHN,,124.69  60.29,,,64.40,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3T+2T  5.30  0.80,1 0 0,1,1 1 0 0,,0,1 - -,6.10
2 2A  3.30  0.80,2 0 1,1,0 1 0 1,,0,2 - -,4.10
3 3LzTw2  5.00  0.98,1 1 2,1,1 2 2 1,,2,2 - -,5.98
4 5ALi4  6.50  1.40,2 1 1,2,1 1 0 1,,1,2 - -,7.90
5 FoDs4  4.50  0.70,1 1 0,1,0 1 1 1,,1,1 - -,5.20
6 FCCoSp1  2.00  0.00,0 0 0,0,0 0 0 0,,0,0 - -,2.00
7 5TLi3  5.50  0.18,1 0 1,0,1 1 1 1,,1,0 - -,5.68
8 SlSt1  1.80  0.40,0 -1 1,1,1 1 1 0,,1,1 - -,2.20
9 3LoTh  5.50 x  1.40,2 2 2,2,2 3 2 2,,2,1 - -,6.90
10 3STh  4.95 x  1.38,2 1 2,3,1 3 2 1,,1,2 - -,6.33
11 SpSq4  3.40  1.00,1 0 1,1,1 1 1 1,,1,1 - -,4.40
12 PCoSp1  3.00  0.50,1 0 1,2,1 1 1 1,,1,1 - -,3.50
50.75,,,,,,,60.29
Program Components Factor,,,,,,,
Skating Skills  1.60,7.75 8.25 8.50,8.25,8.00 8.25 8.00 8.25,,8.25,7.75 - -,8.05
Transition / Linking Footwork  1.60,7.75 8.50 8.00,8.25,7.75 8.25 7.50 8.00,,8.00,7.75 - -,7.95
Performance / Execution  1.60,8.00 8.25 8.25,8.50,7.75 8.25 7.75 8.00,,8.00,7.75 - -,8.00
Choreography / Composition  1.60,8.00 8.50 8.25,8.00,8.00 8.50 8.00 8.50,,8.25,7.75 - -,8.10
Interpretation  1.60,8.00 8.50 8.50,8.25,8.00 8.50 8.00 8.25,,8.25,8.00 - -,8.15
Judges Total Program Component Score (factored),,,,,,,64.40
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Aliona SAVCHENKO / Robin SZOLKOWY,GER,,112.99  55.95,,,57.04,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3FTh  5.50  0.42,0 1 1,0,1 0 1 0,,1,1 - -,5.92
2 3T+3T+SEQ  6.40  0.80,0 0 1,0,1 2 1 0,,1,2 - -,7.20
3 3LzTw1  4.50 -0.14,0 0 -1,1,-1 0 -2 0,,0,0 - -,4.36
4 5TLi4  6.00  0.00,0 0 1,0,1 0 0 1,,1,0 - -,6.00
5 SpSq4  3.40  0.60,0 1 1,0,0 1 1 1,,1,2 - -,4.00
6 5ALi4  6.50  1.00,1 1 1,1,1 1 1 1,,1,1 - -,7.50
7 3STh  4.95 x  0.14,0 0 0,0,1 0 1 1,,0,0 - -,5.09
8 1A  0.88 x -0.24,0 -2 -2,-2,0 -2 -2 0,,0,0 - -,0.64
9 FCCoSp4  3.50  0.10,0 0 0,0,0 0 1 0,,0,1 - -,3.60
10 SlSt3  3.10  0.20,0 1 1,0,1 0 0 0,,1,1 - -,3.30
11 3Li4  4.00  0.06,0 -1 0,0,0 1 0 0,,1,1 - -,4.06
12 BoDs3  4.00  0.28,1 1 1,0,0 1 0 1,,1,0 - -,4.28
13 PSp1*  0.00  0.00,- - -,-,- - - -,,-,- - -,0.00
14 PCoSp2*  0.00  0.00,- - -,-,- - - -,,-,- - -,0.00
52.73,,,,,,,55.95
Program Components Factor,,,,,,,
Skating Skills  1.60,6.75 7.50 7.25,7.00,7.50 7.50 7.25 7.50,,8.00,7.00 - -,7.25
Transition / Linking Footwork  1.60,6.75 7.50 7.25,6.75,7.25 7.25 6.50 7.00,,7.75,6.75 - -,6.95
