Cup of China 2006,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Evan LYSACEK,USA,,150.84  76.04,,,74.80,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz+3T  10.00  1.00,1 1 1,1,1 1 - 1,,1,1 - -,11.00
2 3A  7.50 -1.80,-2 -1 -2,-1,-2 -2 - -1,,-2,-2 - -,5.70
3 3Lo  5.00  0.20,1 1 0,1,0 0 - 0,,0,0 - -,5.20
4 3S  4.50  0.20,2 0 0,1,0 0 - 1,,0,0 - -,4.70
5 FCSSp4  3.00  0.40,1 1 1,1,1 1 - 0,,1,-1 - -,3.40
6 FSSp3  2.30  0.50,0 1 1,1,1 1 - 1,,1,1 - -,2.80
7 3A+2T  9.68 x  0.00,2 0 0,-1,0 0 - 0,,0,0 - -,9.68
8 3F+2T+2Lo  9.13 x  0.20,0 1 0,0,0 0 - 0,,1,0 - -,9.33
9 CiSt2  2.30  0.20,0 1 0,1,0 1 - 0,,1,0 - -,2.50
10 3Lz  6.60 x  0.00,0 0 0,-1,0 0 - 0,,0,0 - -,6.60
11 2A  3.63 x  0.00,1 0 0,1,0 0 - 0,,0,0 - -,3.63
12 CCoSp4  3.50  0.20,1 1 0,1,0 1 - 0,,0,0 - -,3.70
13 SlSt3  3.10  0.60,2 1 2,1,1 1 - 1,,1,1 - -,3.70
14 CCoSp4  3.50  0.60,2 1 1,1,1 2 - 1,,1,1 - -,4.10
73.74,,,,,,,76.04
Program Components Factor,,,,,,,
Skating Skills  2.00,7.75 7.25 7.50,7.50,7.50 7.50 - 7.50,,7.75,6.50 - -,7.50
Transition / Linking Footwork  2.00,7.25 7.00 7.00,7.75,7.25 7.25 - 7.25,,7.50,5.75 - -,7.15
Performance / Execution  2.00,8.00 7.25 7.75,7.75,7.50 7.50 - 7.75,,7.50,7.00 - -,7.55
Choreography / Composition  2.00,7.75 7.50 7.75,7.75,7.25 7.50 - 7.50,,7.75,6.75 - -,7.60
Interpretation  2.00,8.00 7.50 7.50,7.75,7.50 7.50 - 7.75,,7.75,6.50 - -,7.60
Judges Total Program Component Score (factored),,,,,,,74.80
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Emanuel SANDHU,CAN,,129.84  59.34,,,71.50,1.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 4T  9.00 -1.80,0 -1 -2,-1,-2 -2 - -2,,-2,-2 - -,7.20
2 3A  7.50 -1.00,-1 -1 -1,0,-1 -1 - -1,,-1,-1 - -,6.50
3 2Lz  1.90  0.00,0 0 0,0,0 0 - 0,,0,0 - -,1.90
4 3Lz  6.00  0.60,1 1 1,1,0 0 - 0,,0,1 - -,6.60
5 CoSp3  2.50  0.30,1 1 0,0,0 0 - 0,,1,1 - -,2.80
6 1A  0.88 x  0.00,1 0 0,0,-1 0 - 0,,0,0 - -,0.88
7 CiSt3  3.10  0.30,0 0 1,1,0 1 - 0,,1,1 - -,3.40
8 CUSp4  3.00  0.30,1 1 0,0,0 1 - 0,,0,1 - -,3.30
9 3F  6.05 x -3.00,-3 -3 -3,-3,-3 -3 - -3,,-3,-3 - -,3.05
10 3Lo+2T  6.93 x  0.20,1 0 0,1,0 0 - 0,,0,1 - -,7.13
11 3S+2T  6.38 x  0.00,1 0 0,1,0 0 - 0,,0,0 - -,6.38
12 SlSt3  3.10  0.50,1 1 1,0,1 1 - 1,,1,1 - -,3.60
13 FSSp4  3.00  0.10,-1 1 0,1,0 0 - 0,,0,1 - -,3.10
14 CCoSp3  3.00  0.50,1 1 1,2,1 1 - 1,,1,1 - -,3.50
62.34,,,,,,,59.34
Program Components Factor,,,,,,,
Skating Skills  2.00,7.00 7.25 7.75,6.75,6.50 7.00 - 7.25,,7.00,7.50 - -,7.20
