Cup of China 2006,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
1 Xue SHEN / Hongbo ZHAO,CHN,68.90  37.18,,,31.72,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3T  4.00  1.00,1 0 1 0,1 1 1 1,,2,2 - -,5.00
2 3LoTh  5.00  1.40,2 2 3 2,2 2 2 2,,2,2 - -,6.40
3 SpSq4  3.40  1.20,1 0 1 0,1 1 2 1,,1,2 - -,4.60
4 BoDs3  4.00  0.84,0 1 1 1,2 1 1 2,,1,1 - -,4.84
5 FCCoSp2  2.50  0.30,0 -1 0 0,0 1 1 1,,1,1 - -,2.80
6 3LzTw2  5.00  0.84,1 1 2 1,2 1 0 2,,1,1 - -,5.84
7 4Li4  4.00  0.30,1 1 1 0,1 1 1 2,,1,1 - -,4.30
8 PCoSp1  3.00  0.40,0 0 0 1,1 1 0 2,,1,1 - -,3.40
30.90,,,,,,37.18
Program Components Factor,,,,,,
Skating Skills  0.80,8.00 7.25 7.75 8.00,8.25 8.00 7.50 8.25,,7.50,7.75 - -,8.00
Transition / Linking Footwork  0.80,7.75 7.00 7.50 7.50,8.00 7.75 7.50 8.00,,7.25,7.50 - -,7.70
Performance / Execution  0.80,7.75 7.25 7.50 7.75,8.25 7.75 7.50 8.25,,7.50,8.00 - -,7.90
Choreography / Composition  0.80,8.00 7.25 7.50 8.00,8.00 8.00 7.75 8.00,,7.50,8.25 - -,8.00
Interpretation  0.80,8.00 7.50 7.50 7.75,8.25 8.00 7.75 8.25,,7.75,8.25 - -,8.05
Judges Total Program Component Score (factored),,,,,,31.72
Deductions:,,,,,,0.00
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
2 Qing PANG / Jian TONG,CHN,62.00  32.00,,,30.00,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3T<  1.30 -0.48,-2 -3 -2 -2,0 -2 1 -2,,-2,-2 - -,0.82
2 3LzTw2  5.00  0.42,1 1 1 0,1 1 2 0,,1,0 - -,5.42
3 3LoTh  5.00  1.40,2 2 2 2,2 2 2 2,,2,2 - -,6.40
4 SpSq4  3.40  1.00,1 1 1 1,1 1 1 1,,2,1 - -,4.40
5 FCCoSp3  3.00 -0.18,-1 -1 0 0,0 -1 -1 0,,1,-1 - -,2.82
6 4Li4  4.00  0.30,0 1 1 1,1 2 1 1,,1,1 - -,4.30
7 BoDs2  3.50  0.14,0 0 0 0,1 -1 0 0,,1,1 - -,3.64
8 PCoSp3  4.00  0.20,0 0 1 0,1 0 0 1,,1,1 - -,4.20
29.20,,,,,,32.00
Program Components Factor,,,,,,
Skating Skills  0.80,7.75 8.25 7.50 8.00,8.00 7.50 7.00 7.50,,7.25,7.25 - -,7.60
Transition / Linking Footwork  0.80,7.50 7.75 7.25 7.75,8.00 7.25 7.00 7.25,,7.00,7.00 - -,7.35
Performance / Execution  0.80,7.50 8.25 7.50 7.75,8.00 7.00 7.00 7.50,,7.25,7.25 - -,7.40
Choreography / Composition  0.80,7.50 8.50 7.50 8.00,8.00 7.50 7.25 7.50,,7.50,7.25 - -,7.55
Interpretation  0.80,7.75 8.25 7.50 7.75,8.25 7.25 7.25 7.75,,7.25,7.50 - -,7.60
Judges Total Program Component Score (factored),,,,,,30.00
Deductions:,,,,,,0.00
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
3 Aliona SAVCHENKO / Robin SZOLKOWY,GER,58.64  29.96,,,28.68,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3FTh  5.50  0.84,1 2 1 0,1 2 1 2,,2,1 - -,6.34
2 3T<  1.30 -0.76,-3 -2 -2 -2,-1 -3 -2 -2,,-3,-3 - -,0.54
