Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Julia SEBESTYEN,HUN,153.8,3,52.82,1,100.98,2006-11-12,gpchn06
2,Yukari NAKANO,JPN,151.27,2,54.9,2,96.37,2006-11-12,gpchn06
3,Emily HUGHES,USA,151.12,1,56.74,3,94.38,2006-11-12,gpchn06
4,Binshu XU,CHN,136.31,6,49.54,5,86.77,2006-11-12,gpchn06
5,Beatrisa LIANG,USA,134.99,5,49.72,8,85.27,2006-11-12,gpchn06
6,Mai ASADA,JPN,134.27,8,47.26,4,87.01,2006-11-12,gpchn06
7,Elena SOKOLOVA,RUS,134.17,7,48.5,6,85.67,2006-11-12,gpchn06
8,Aki SAWADA,JPN,133.33,4,49.98,9,83.35,2006-11-12,gpchn06
9,Yan LIU,CHN,125.23,11,39.88,7,85.35,2006-11-12,gpchn06
10,Chae-Hwa KIM,KOR,115.19,10,40.98,10,74.21,2006-11-12,gpchn06
11,Dan FANG,CHN,113.38,9,41.52,11,71.86,2006-11-12,gpchn06
12,Roxana LUCA,ROM,100.83,12,32.4,12,68.43,2006-11-12,gpchn06
