Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Evan LYSACEK,USA,220.04,2,69.2,1,150.84,2006-11-12,gpchn06
2,Sergei DAVYDOV,BLR,199.11,1,69.45,3,129.66,2006-11-12,gpchn06
3,Emanuel SANDHU,CAN,193.39,4,63.55,2,129.84,2006-11-12,gpchn06
4,Scott SMITH,USA,192.38,3,63.77,4,128.61,2006-11-12,gpchn06
5,Kensuke NAKANIWA,JPN,182.74,6,60.73,6,122.01,2006-11-12,gpchn06
6,Alexander USPENSKI,RUS,178.59,9,56.22,5,122.37,2006-11-12,gpchn06
7,Yannick PONSERO,FRA,177.09,5,62.9,8,114.19,2006-11-12,gpchn06
8,Jialiang WU,CHN,175.52,7,57.75,7,117.77,2006-11-12,gpchn06
9,Song GAO,CHN,154.28,10,55.47,9,98.81,2006-11-12,gpchn06
10,Ryo SHIBATA,JPN,153.63,8,57.4,10,96.23,2006-11-12,gpchn06
WD,Chengjiang LI,CHN,WD,WD,WD,WD,WD,2006-11-12,gpchn06
