Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Xue SHEN / Hongbo ZHAO,CHN,193.59,1,68.9,1,124.69,2006-11-12,gpchn06
2,Qing PANG / Jian TONG,CHN,172.56,2,62.0,3,110.56,2006-11-12,gpchn06
3,Aliona SAVCHENKO / Robin SZOLKOWY,GER,171.63,3,58.64,2,112.99,2006-11-12,gpchn06
4,Valerie MARCOUX / Craig BUNTIN,CAN,165.11,4,56.68,4,108.43,2006-11-12,gpchn06
5,Dorota SIUDEK / Mariusz SIUDEK,POL,151.65,5,50.74,5,100.91,2006-11-12,gpchn06
6,Julia VLASSOV / Drew MEEKINS,USA,125.55,6,43.76,6,81.79,2006-11-12,gpchn06
7,Jiaqi LI / Jiankun XU,CHN,122.03,8,41.7,7,80.33,2006-11-12,gpchn06
8,Emilie DEMERS BOUTIN / Pierre-Philippe JONCAS,CAN,118.48,7,43.0,8,75.48,2006-11-12,gpchn06
9,Stacey KEMP / David KING,GBR,112.66,9,38.6,9,74.06,2006-11-12,gpchn06
