Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Oksana DOMNINA / Maxim SHABALIN,RUS,188.41,1,36.86,2,58.42,1,93.13,2006-11-12,gpchn06
2,Tanith BELBIN / Benjamin AGOSTO,USA,187.15,2,36.75,1,58.9,2,91.5,2006-11-12,gpchn06
3,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,173.86,3,31.61,3,53.98,3,88.27,2006-11-12,gpchn06
4,Alexandra ZARETSKI / Roman ZARETSKI,ISR,158.37,4,30.2,4,48.64,4,79.53,2006-11-12,gpchn06
5,Pernelle CARRON / Mathieu JOST,FRA,151.46,6,28.25,5,47.61,5,75.6,2006-11-12,gpchn06
6,Anastasia GREBENKINA / Vazgen AZROJAN,ARM,150.77,5,29.19,6,46.31,6,75.27,2006-11-12,gpchn06
7,Lauren SENFT / Leif GISLASON,CAN,143.69,7,27.7,7,43.73,7,72.26,2006-11-12,gpchn06
8,Mylene GIRARD / Bradley YAEGER,CAN,140.11,8,26.0,8,42.91,8,71.2,2006-11-12,gpchn06
9,Olga AKIMOVA / Alexander SHAKALOV,UZB,127.23,10,22.33,9,39.18,9,65.72,2006-11-12,gpchn06
10,Xintong HUANG / Xun ZHENG,CHN,125.91,9,23.17,10,39.03,11,63.71,2006-11-12,gpchn06
11,Xiaoyang YU / Chen WANG,CHN,124.09,11,21.86,11,37.69,10,64.54,2006-11-12,gpchn06
