Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Evgeni PLUSHENKO,RUS,241.8,1,87.2,1,154.6,2005-11-27,gprus05
2,Stephane LAMBIEL,SUI,225.55,2,78.35,2,147.2,2005-11-27,gprus05
3,Johnny WEIR,USA,206.79,3,75.15,4,131.64,2005-11-27,gprus05
4,Stefan LINDEMANN,GER,194.63,4,68.65,6,125.98,2005-11-27,gprus05
5,Frederic DAMBIER,FRA,193.65,7,59.75,3,133.9,2005-11-27,gprus05
6,Alban PREAUBERT,FRA,186.5,5,61.7,7,124.8,2005-11-27,gprus05
7,Shawn SAWYER,CAN,185.65,9,57.35,5,128.3,2005-11-27,gprus05
8,Yasuharu NANRI,JPN,168.79,6,59.85,8,108.94,2005-11-27,gprus05
9,Ilia KLIMKIN,RUS,165.35,8,59.55,9,105.8,2005-11-27,gprus05
10,Sergei DOBRIN,RUS,159.43,10,56.09,10,103.34,2005-11-27,gprus05
11,Kristoffer BERNTSSON,SWE,156.17,11,55.37,11,100.8,2005-11-27,gprus05
12,Song GAO,CHN,140.31,12,52.53,12,87.78,2005-11-27,gprus05
