Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Tatiana NAVKA / Roman KOSTOMAROV,RUS,200.91,1,38.72,1,59.38,1,102.81,2005-11-27,gprus05
2,Galit CHAIT / Sergei SAKHNOVSKI,ISR,184.65,2,35.03,2,55.57,2,94.05,2005-11-27,gprus05
3,Oksana DOMNINA / Maxim SHABALIN,RUS,176.69,3,32.35,3,54.15,3,90.19,2005-11-27,gprus05
4,Melissa GREGORY / Denis PETUKHOV,USA,159.83,4,29.62,5,46.78,4,83.43,2005-11-27,gprus05
5,Nathalie PECHALAT / Fabian BOURZAT,FRA,155.59,5,28.0,4,47.63,5,79.96,2005-11-27,gprus05
6,Olga ORLOVA / Vitali NOVIKOV,RUS,148.78,8,25.05,6,46.54,6,77.19,2005-11-27,gprus05
7,Loren GALLER-RABINOWITZ / David MITCHELL,USA,143.32,6,26.55,7,43.11,7,73.66,2005-11-27,gprus05
8,Alexandra KAUC / Michal ZYCH,POL,135.45,7,25.15,10,39.36,8,70.94,2005-11-27,gprus05
9,Alessia AURELI / Andrea VATURI,ITA,132.58,9,24.66,9,40.3,9,67.62,2005-11-27,gprus05
10,Siobhan KARAM / Joshua McGRATH,CAN,130.72,10,23.85,8,40.77,10,66.1,2005-11-27,gprus05
11,Nakako TSUZUKI / Kenji MIYAMOTO,JPN,123.01,11,22.65,11,37.3,11,63.06,2005-11-27,gprus05
