Cup of Russia 2005,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
6 3S 5.0x -0.20 0 0 0 0 -1,0 0 0,,-1 0 - -,4.80
7 CSSp3 2.1 0.00 0 1 0 0 0,0 0 0,,0 0 - -,2.10
8 3Lz 6.6x 0.00 1 1 0 0 0,0 0 0,,0 1 - -,6.60
9 3Lo 5.5x -0.60 0 0 0 -1 -1,-1 0 0,,-1 0 - -,4.90
10 2A 3.6x 0.00 0 1 0 0 0,0 0 -1,,0 0 - -,3.60
11 FSSp3 2.3 0.00 0 0 0 0 0,0 0 0,,0 0 - -,2.30
12 SlSt1 1.8 0.10 0 0 1 0 0,1 0 0,,0 1 - -,1.90
13 CiSt1 1.8 0.10 0 1 1 0 0,0 0 0,,0 0 - -,1.90
14 FSSp3 2.3 0.00 0 0 0 0 0,0 0 0,,0 0 - -,2.30
73.8,,,,69.80
Program Components Factor,,,,
Skating Skills 2.00 7.00 6.75 6.25 6.50 6.75 6.75,7.00 6.25,,6.25 6.50 - -,6.50
Transition / Linking Footwork 2.00 6.25 6.00 6.25 6.50 6.50 6.50,6.25 6.25,,6.00 6.50 - -,6.30
Performance / Execution 2.00 6.50 6.75 6.50 6.75 6.75 6.25,6.25 6.75,,6.50 6.50 - -,6.65
Choreography / Composition 2.00 6.50 6.75 6.50 6.75 6.25 6.25,6.50 6.50,,6.00 6.25 - -,6.45
Interpretation 2.00 6.75 7.00 6.50 6.75 6.75 6.50,6.50 6.75,,6.50 6.50 - -,6.65
Judges Total Program Component Score (factored),,,,65.10
Deductions: Falls: -1.00,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
"=",+,,+,-
4 Johnny WEIR USA 131.64,57.94,,73.70,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 3T 4.0 1.20 1 2 1 1 1,2 1 1,,1 1 - -,5.20
2 3A+3T 11.5 0.60 1 1 0 1 0,1 1 2,,-1 1 - -,12.10
3 3F+2T 6.8 0.40 1 2 1 0 0,0 0 1,,0 1 - -,7.20
4 CCoSp2 2.5 0.50 1 2 2 1 0,0 0 2,,0 0 - -,3.00
5 1A 0.8 0.00 0 1 0 0 0,0 0 0,,0 0 - -,0.80
6 3Lo 5.5x 0.00 0 1 0 0 0,0 0 0,,-1 0 - -,5.50
7 SSp3 1.8 -0.06 0 0 0 0 -1,0 0 0,,-1 0 - -,1.74
8 CiSt2 2.3 0.40 0 1 2 1 0,1 0 1,,0 1 - -,2.70
9 3S 5.0x 0.40 0 1 1 0 0,0 1 1,,0 0 - -,5.40
10 2Lz 2.1x 0.20 0 1 1 0 0,0 0 1,,0 0 - -,2.30
11 2A 3.6x 0.20 0 1 0 0 0,0 0 1,,0 0 - -,3.80
12 SlSt3 3.1 0.00 0 0 1 0 0,0 0 0,,0 0 - -,3.10
13 CoSp3 2.5 0.10 0 0 1 1 0,0 0 0,,0 0 - -,2.60
14 FSSp3 2.3 0.20 0 1 1 0 -1,0 0 1,,0 0 - -,2.50
53.8,,,,57.94
Program Components Factor,,,,
Skating Skills 2.00 7.50 7.00 8.00 7.50 7.25 7.50,7.50 7.50,,7.50 7.50 - -,7.45
Transition / Linking Footwork 2.00 7.25 6.25 7.75 7.50 7.00 7.25,7.00 7.00,,7.25 7.50 - -,7.20
Performance / Execution 2.00 7.50 6.75 8.00 7.75 6.75 7.00,7.25 7.25,,7.50 7.25 - -,7.25
Choreography / Composition 2.00 7.50 6.75 8.00 8.00 7.00 7.25,7.25 7.25,,7.50 7.50 - -,7.40
Interpretation 2.00 7.50 7.00 8.00 7.75 7.25 7.50,7.25 7.75,,7.50 7.25 - -,7.55
Judges Total Program Component Score (factored),,,,73.70
Deductions:,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
Cup of Russia 2005,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
"=",+,,+,-
5 Shawn SAWYER CAN 128.30,61.60,,66.70,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 3F+3T 9.5 0.60 1 1 1 0 1,0 1 0,,1 1 - -,10.10
2 3A 7.5 -2.00 -2 -2 -2 -2 -2,-2 -2 -2,,-2 -1 - -,5.50
3 2Lz 1.9 0.00 0 1 0 0 0,0 0 0,,0 0 - -,1.90
4 CCSp3 2.1 0.60 0 2 2 1 1,1 1 1,,1 2 - -,2.70
5 2A 3.3 0.60 1 1 1 0 1,0 0 1,,0 1 - -,3.90
6 CiSt2 2.3 0.40 0 1 1 1 0,1 0 1,,0 0 - -,2.70
