Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,owg2018,2018-02-25,ZAGITOVA Alina,OAR,239.57,1,82.92,2,156.65
2,owg2018,2018-02-25,MEDVEDEVA Evgenia,OAR,238.26,2,81.61,1,156.65
3,owg2018,2018-02-25,OSMOND Kaetlyn,CAN,231.02,3,78.87,3,152.15
4,owg2018,2018-02-25,MIYAHARA Satoko,JPN,222.38,4,75.94,4,146.44
5,owg2018,2018-02-25,KOSTNER Carolina,ITA,212.44,6,73.15,5,139.29
6,owg2018,2018-02-25,SAKAMOTO Kaori,JPN,209.71,5,73.18,6,136.53
7,owg2018,2018-02-25,CHOI Dabin,KOR,199.26,8,67.77,8,131.49
8,owg2018,2018-02-25,SOTSKOVA Maria,OAR,198.10000000000002,12,63.86,7,134.24
9,owg2018,2018-02-25,TENNELL Bradie,USA,192.35000000000002,11,64.01,9,128.34
10,owg2018,2018-02-25,NAGASU Mirai,USA,186.54000000000002,9,66.93,12,119.61
11,owg2018,2018-02-25,CHEN Karen,USA,185.65,10,65.9,11,119.75
12,owg2018,2018-02-25,TURSYNBAEVA Elizabet,KAZ,177.12,15,58.82,13,118.3
13,owg2018,2018-02-25,KIM Hanul,KOR,175.70999999999998,21,54.33,10,121.38
14,owg2018,2018-02-25,RAJICOVA Nicole,SVK,175.19,13,60.59,15,114.6
15,owg2018,2018-02-25,DALEMAN Gabrielle,CAN,172.46,7,68.9,19,103.56
16,owg2018,2018-02-25,HENDRICKX Loena,BEL,171.88,20,55.16,14,116.72
17,owg2018,2018-02-25,CRAINE Kailani,AUS,168.61,16,56.77,16,111.84
18,owg2018,2018-02-25,SCHOTT Nicole,GER,168.46,14,59.2,17,109.26
19,owg2018,2018-02-25,MEITE Mae Berenice,FRA,159.92000000000002,22,53.67,18,106.25
20,owg2018,2018-02-25,PELTONEN Emmi,FIN,157.14,18,55.28,21,101.86
21,owg2018,2018-02-25,PAGANINI Alexia,SUI,156.26,19,55.26,22,101.0
22,owg2018,2018-02-25,LI Xiangning,CHN,154.43,24,52.46,20,101.97
23,owg2018,2018-02-25,TOTH Ivett,HUN,150.43,23,53.22,23,97.21
24,owg2018,2018-02-25,WILLIAMS Isadora,BRA,144.18,17,55.74,24,88.44
25,owg2018,2018-02-25,AUSTMAN Larkyn,CAN,51.42,25,51.42,DNQ,DNQ
26,owg2018,2018-02-25,NIKITINA Diana,LAT,51.12,26,51.12,DNQ,DNQ
27,owg2018,2018-02-25,RUSSO Giada,ITA,50.88,27,50.88,DNQ,DNQ
28,owg2018,2018-02-25,OESTLUND Anita,SWE,49.14,28,49.14,DNQ,DNQ
29,owg2018,2018-02-25,KHNYCHENKOVA Anna,UKR,47.59,29,47.59,DNQ,DNQ
30,owg2018,2018-02-25,MAMBEKOVA Aiza,KAZ,44.4,30,44.4,DNQ,DNQ
