Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,owg2018,2018-02-25,SAVCHENKO Aljona / MASSOT Bruno,GER,235.9,4,76.59,1,159.31
2,owg2018,2018-02-25,SUI Wenjing / HAN Cong,CHN,235.47000000000003,1,82.39,3,153.08
3,owg2018,2018-02-25,DUHAMEL Meagan / RADFORD Eric,CAN,230.15,3,76.82,2,153.33
4,owg2018,2018-02-25,TARASOVA Evgenia / MOROZOV Vladimir,OAR,224.93,2,81.68,4,143.25
5,owg2018,2018-02-25,JAMES Vanessa / CIPRES Morgan,FRA,218.53,6,75.34,5,143.19
6,owg2018,2018-02-25,MARCHEI Valentina / HOTAREK Ondrej,ITA,216.59,7,74.5,6,142.09
7,owg2018,2018-02-25,ZABIIAKO Natalia / ENBERT Alexander,OAR,212.88,8,74.35,7,138.53
8,owg2018,2018-02-25,YU Xiaoyu / ZHANG Hao,CHN,204.10000000000002,5,75.58,11,128.52
9,owg2018,2018-02-25,SEGUIN Julianne / BILODEAU Charlie,CAN,204.01999999999998,12,67.52,8,136.5
10,owg2018,2018-02-25,DELLA MONICA Nicole / GUARISE Matteo,ITA,202.74,9,74.0,10,128.74
11,owg2018,2018-02-25,MOORE-TOWERS Kirsten / MARINARO,CAN,198.11,13,65.68,9,132.43
12,owg2018,2018-02-25,ASTAKHOVA Kristina / ROGONOV Alexei,OAR,194.45,10,70.52,13,123.93
13,owg2018,2018-02-25,RYOM Tae Ok / KIM Ju Sik,PRK,193.63,11,69.4,12,124.23
14,owg2018,2018-02-25,DUSKOVA Anna / BIDAR Martin,CZE,186.32999999999998,15,63.25,14,123.08
15,owg2018,2018-02-25,SCIMECA KNIERIM Alexa / KNIERIM Chris,USA,185.82,14,65.55,15,120.27
16,owg2018,2018-02-25,HOCKE Annika / BLOMMAERT Ruben,GER,171.98,16,63.04,16,108.94
17,owg2018,2018-02-25,PENG Cheng / JIN Yang,CHN,62.61,17,62.61,DNQ,DNQ
18,owg2018,2018-02-25,ALEXANDROVSKAYA Ekaterina / WINDSOR,AUS,61.55,18,61.55,DNQ,DNQ
19,owg2018,2018-02-25,CONNERS Paige / KRASNOPOLSKI Evgeni,ISR,60.35,19,60.35,DNQ,DNQ
20,owg2018,2018-02-25,ZIEGLER Miriam / KIEFER Severin,AUT,58.8,20,58.8,DNQ,DNQ
21,owg2018,2018-02-25,SUZAKI Miu / KIHARA Ryuichi,JPN,57.74,21,57.74,DNQ,DNQ
22,owg2018,2018-02-25,KIM Kyueun / KAM Alex Kang Chan,KOR,42.93,22,42.93,DNQ,DNQ
