Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,owg2018,2018-02-25,HANYU Yuzuru,JPN,317.85,1,111.68,2,206.17
2,owg2018,2018-02-25,UNO Shoma,JPN,306.9,3,104.17,3,202.73
3,owg2018,2018-02-25,FERNANDEZ Javier,ESP,305.24,2,107.58,4,197.66
4,owg2018,2018-02-25,JIN Boyang,CHN,297.77,4,103.32,5,194.45
5,owg2018,2018-02-25,CHEN Nathan,USA,297.35,17,82.27,1,215.08
6,owg2018,2018-02-25,ZHOU Vincent,USA,276.69,12,84.53,6,192.16
7,owg2018,2018-02-25,ALIEV Dmitri,OAR,267.51,5,98.98,13,168.53
8,owg2018,2018-02-25,KOLYADA Mikhail,OAR,264.25,8,86.69,7,177.56
9,owg2018,2018-02-25,CHAN Patrick,CAN,263.43,6,90.01,8,173.42
10,owg2018,2018-02-25,RIPPON Adam,USA,259.36,7,87.95,10,171.41
11,owg2018,2018-02-25,BYCHENKO Alexei,ISR,257.01,13,84.13,9,172.88
12,owg2018,2018-02-25,MESSING Keegan,CAN,255.43,10,85.11,12,170.32
13,owg2018,2018-02-25,SAMOHIN Daniel,ISR,251.44,18,80.69,11,170.75
14,owg2018,2018-02-25,HENDRICKX Jorik,BEL,248.95,11,84.74,16,164.21
15,owg2018,2018-02-25,CHA Junhwan,KOR,248.59,15,83.43,14,165.16
16,owg2018,2018-02-25,BREZINA Michal,CZE,246.07,9,85.15,18,160.92
17,owg2018,2018-02-25,GE Misha,UZB,244.94,14,83.9,17,161.04
18,owg2018,2018-02-25,TANAKA Keiji,JPN,244.82999999999998,20,80.05,15,164.78
19,owg2018,2018-02-25,VASILJEVS Deniss,LAT,234.57999999999998,21,79.52,20,155.06
20,owg2018,2018-02-25,KERRY Brendan,AUS,233.81,16,83.06,21,150.75
21,owg2018,2018-02-25,RIZZO Matteo,ITA,232.41,23,75.63,19,156.78
22,owg2018,2018-02-25,FENTZ Paul,GER,214.55,24,74.73,22,139.82
23,owg2018,2018-02-25,YAN Han,CHN,213.01,19,80.63,23,132.38
24,owg2018,2018-02-25,KVITELASHVILI Morisi,GEO,204.57,22,76.56,24,128.01
25,owg2018,2018-02-25,YEE Julian Zhi Jie,MAS,73.58,25,73.58,DNQ,DNQ
26,owg2018,2018-02-25,BESSEGHIER Chafik,FRA,72.1,26,72.1,DNQ,DNQ
27,owg2018,2018-02-25,TEN Denis,KAZ,70.12,27,70.12,DNQ,DNQ
28,owg2018,2018-02-25,MARTINEZ Michael Christian,PHI,55.56,28,55.56,DNQ,DNQ
29,owg2018,2018-02-25,MONTOYA Felipe,ESP,52.41,29,52.41,DNQ,DNQ
30,owg2018,2018-02-25,PANIOT Yaroslav,UKR,46.58,30,46.58,DNQ,DNQ
