Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,owg2018,2018-02-25,VIRTUE Tessa / MOIR Scott,CAN,206.07,1,83.67,2,122.4
2,owg2018,2018-02-25,PAPADAKIS Gabriella / CIZERON Guillaume,FRA,205.28,2,81.93,1,123.35
3,owg2018,2018-02-25,SHIBUTANI Maia / SHIBUTANI Alex,USA,192.59,4,77.73,3,114.86
4,owg2018,2018-02-25,HUBBELL Madison / DONOHUE Zachary,USA,187.69,3,77.75,5,109.94
5,owg2018,2018-02-25,BOBROVA Ekaterina / SOLOVIEV Dmitri,OAR,186.92000000000002,6,75.47,4,111.45
6,owg2018,2018-02-25,CAPPELLINI Anna / LANOTTE Luca,ITA,184.91,5,76.57,6,108.34
7,owg2018,2018-02-25,WEAVER Kaitlyn / POJE Andrew,CAN,181.98000000000002,8,74.33,7,107.65
8,owg2018,2018-02-25,GILLES Piper / POIRIER Paul,CAN,176.91,9,69.6,8,107.31
9,owg2018,2018-02-25,CHOCK Madison / BATES Evan,USA,175.57999999999998,7,75.45,12,100.13
10,owg2018,2018-02-25,GUIGNARD Charlene / FABBRI Marco,ITA,173.47,11,68.16,9,105.31
11,owg2018,2018-02-25,COOMES Penny / BUCKLAND Nicholas,GBR,170.32,10,68.36,10,101.96
12,owg2018,2018-02-25,HURTADO Sara / KHALIAVIN Kirill,ESP,168.33,12,66.93,11,101.4
13,owg2018,2018-02-25,ZAGORSKI Tiffani / GUERREIRO Jonathan,OAR,162.24,13,66.47,14,95.77
14,owg2018,2018-02-25,KALISZEK Natalia / SPODYRIEV Maksym,POL,161.35000000000002,14,66.06,15,95.29
15,owg2018,2018-02-25,MURAMOTO Kana / REED Chris,JPN,160.63,15,63.41,13,97.22
16,owg2018,2018-02-25,LORENZ Kavita / POLIZOAKIS Joti,GER,150.49,17,59.99,16,90.5
17,owg2018,2018-02-25,LAURIAULT Marie-Jade / le GAC Romain,FRA,149.59,18,59.97,17,89.62
18,owg2018,2018-02-25,MIN Yura / GAMELIN Alexander,KOR,147.74,16,61.22,19,86.52
19,owg2018,2018-02-25,AGAFONOVA Alisa / UCAR Alper,TUR,147.18,20,59.42,18,87.76
20,owg2018,2018-02-25,MYSLIVECKOVA Lucie / CSOLLEY Lukas,SVK,142.57,19,59.75,20,82.82
21,owg2018,2018-02-25,NAZAROVA Alexandra / NIKITIN Maxim,UKR,57.97,21,57.97,DNQ,DNQ
22,owg2018,2018-02-25,WANG Shiyue / LIU Xinyu,CHN,57.81,22,57.81,DNQ,DNQ
23,owg2018,2018-02-25,MANSOUROVA Cortney / CESKA Michal,CZE,53.53,23,53.53,DNQ,DNQ
24,owg2018,2018-02-25,TANKOVA Adel / ZILBERBERG Ronald,ISR,46.66,24,46.66,DNQ,DNQ
