Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Qing PANG / Jian TONG,CHN,199.45,1,71.41,1,128.04,2011-02-20,fc2011
2,Meagan DUHAMEL / Eric RADFORD,CAN,181.79,3,59.92,2,121.87,2011-02-20,fc2011
3,Paige LAWRENCE / Rudi SWIEGERS,CAN,171.73,2,59.98,4,111.75,2011-02-20,fc2011
4,Caitlin YANKOWSKAS / John COUGHLIN,USA,166.97,4,55.25,5,111.72,2011-02-20,fc2011
5,Kirsten MOORE-TOWERS / Dylan MOSCOVITCH,CAN,166.22,5,54.41,3,111.81,2011-02-20,fc2011
6,Amanda EVORA / Mark LADWIG,USA,157.3,6,52.23,6,105.07,2011-02-20,fc2011
7,Narumi TAKAHASHI / Mervin TRAN,JPN,152.63,8,50.25,7,102.38,2011-02-20,fc2011
8,Mary Beth MARLEY / Rockne BRUBAKER,USA,144.46,10,45.6,8,98.86,2011-02-20,fc2011
9,Yue ZHANG / Lei WANG,CHN,138.93,7,50.61,10,88.32,2011-02-20,fc2011
10,Huibo DONG / Yiming WU,CHN,135.1,9,46.41,9,88.69,2011-02-20,fc2011
