Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Miki ANDO,JPN,201.34,1,66.58,1,134.76,2011-02-20,fc2011
2,Mao ASADA,JPN,196.3,2,63.41,2,132.89,2011-02-20,fc2011
3,Mirai NAGASU,USA,189.46,4,59.78,3,129.68,2011-02-20,fc2011
4,Rachael FLATT,USA,180.31,3,62.23,4,118.08,2011-02-20,fc2011
5,Alissa CZISNY,USA,168.81,5,58.94,5,109.87,2011-02-20,fc2011
6,Cynthia PHANEUF,CAN,163.14,7,55.65,6,107.49,2011-02-20,fc2011
7,Akiko SUZUKI,JPN,162.59,6,57.64,7,104.95,2011-02-20,fc2011
8,Min-Jeong KWAK,KOR,147.15,8,50.47,8,96.68,2011-02-20,fc2011
9,Amelie LACOSTE,CAN,137.48,9,50.06,9,87.42,2011-02-20,fc2011
10,Cheltzie LEE,AUS,127.9,10,48.72,10,79.18,2011-02-20,fc2011
11,Myriane SAMSON,CAN,121.2,11,46.33,11,74.87,2011-02-20,fc2011
12,Yea-Ji YUN,KOR,111.86,12,39.37,12,72.49,2011-02-20,fc2011
13,Bingwa GENG,CHN,104.58,13,39.2,16,65.38,2011-02-20,fc2011
14,Qiuying ZHU,CHN,102.38,16,35.08,15,67.3,2011-02-20,fc2011
15,Lejeanne MARAIS,RSA,101.9,19,31.99,13,69.91,2011-02-20,fc2011
16,Chae-Hwa KIM,KOR,101.79,17,33.76,14,68.03,2011-02-20,fc2011
17,Victoria MUNIZ,PUR,99.4,15,35.45,17,63.95,2011-02-20,fc2011
18,Melinda WANG,TPE,96.15,14,36.51,18,59.64,2011-02-20,fc2011
19,Mimi Tanasorn CHINDASOOK,THA,91.54,18,33.73,20,57.81,2011-02-20,fc2011
20,Jaimee NOBBS,AUS,89.93,20,31.94,19,57.99,2011-02-20,fc2011
21,Crystal KIANG,TPE,86.6,21,31.89,21,54.71,2011-02-20,fc2011
22,Mericien VENZON,PHI,84.17,22,30.64,22,53.53,2011-02-20,fc2011
23,Melanie SWANG,THA,82.08,23,29.5,23,52.58,2011-02-20,fc2011
24,Chaochih LIU,TPE,78.28,24,28.52,24,49.76,2011-02-20,fc2011
25,Tiffany Packard YU,HKG,27.51,25,27.51,DNQ,DNQ,2011-02-20,fc2011
26,Brittany LAU,SIN,26.61,26,26.61,DNQ,DNQ,2011-02-20,fc2011
27,Taryn JURGENSEN,THA,26.28,27,26.28,DNQ,DNQ,2011-02-20,fc2011
28,Reyna HAMUI,MEX,23.73,28,23.73,DNQ,DNQ,2011-02-20,fc2011
29,Mary Ro REYES,MEX,22.22,29,22.22,DNQ,DNQ,2011-02-20,fc2011
