Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Meryl DAVIS / Charlie WHITE,USA,172.03,2,69.01,1,103.02,2011-02-20,fc2011
2,Maia SHIBUTANI / Alex SHIBUTANI,USA,155.38,4,62.04,2,93.34,2011-02-20,fc2011
3,Vanessa CRONE / Paul POIRIER,CAN,151.83,5,61.66,3,90.17,2011-02-20,fc2011
4,Kaitlyn WEAVER / Andrew POJE,CAN,151.14,3,65.45,4,85.69,2011-02-20,fc2011
5,Madison CHOCK / Greg ZUERLEIN,USA,142.44,6,57.14,5,85.3,2011-02-20,fc2011
6,Xintong HUANG / Xun ZHENG,CHN,130.29,7,52.93,6,77.36,2011-02-20,fc2011
7,Xiaoyang YU / Chen WANG,CHN,125.75,8,50.58,7,75.17,2011-02-20,fc2011
8,Xueting GUAN / Meng WANG,CHN,106.26,9,42.77,8,63.49,2011-02-20,fc2011
9,Danielle OBRIEN / Gregory MERRIMAN,AUS,104.69,10,42.67,9,62.02,2011-02-20,fc2011
10,Corenne BRUHNS / Benjamin WESTENBERGER,MEX,88.55,11,40.68,10,47.87,2011-02-20,fc2011
11,Maria BOROUNOV / Evgeni BOROUNOV,AUS,72.23,12,28.52,11,43.71,2011-02-20,fc2011
WD,Tessa VIRTUE / Scott MOIR,CAN,69.4,1,69.4,WD,WD,2011-02-20,fc2011
