Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Patrick CHAN,CAN,290.21,5,86.22,1,203.99,2016-02-21,fc2016
2,Boyang JIN,CHN,289.83,1,98.45,2,191.38,2016-02-21,fc2016
3,Han YAN,CHN,271.55,3,89.57,3,181.98,2016-02-21,fc2016
4,Shoma UNO,JPN,269.81,2,92.99,5,176.82,2016-02-21,fc2016
5,Takahito MURA,JPN,268.43,4,89.08,4,179.35,2016-02-21,fc2016
6,Keiji TANAKA,JPN,222.7,7,74.82,7,147.88,2016-02-21,fc2016
7,Max AARON,USA,220.94,8,69.48,6,151.46,2016-02-21,fc2016
8,Grant HOCHSTEIN,USA,216.34,6,75.79,10,140.55,2016-02-21,fc2016
9,Michael Christian MARTINEZ,PHI,211.59,9,69.15,9,142.44,2016-02-21,fc2016
10,Jin Seo KIM,KOR,201.43,12,65.13,11,136.3,2016-02-21,fc2016
11,Kevin REYNOLDS,CAN,198.87,20,55.14,8,143.73,2016-02-21,fc2016
12,Nan SONG,CHN,194.81,11,66.04,15,128.77,2016-02-21,fc2016
13,Liam FIRUS,CAN,194.02,14,61.81,13,132.21,2016-02-21,fc2016
14,Ross MINER,USA,191.12,17,58.27,12,132.85,2016-02-21,fc2016
15,Julian Zhi Jie YEE,MAS,190.32,15,59.7,14,130.62,2016-02-21,fc2016
16,June Hyoung LEE,KOR,180.92,10,67.35,19,113.57,2016-02-21,fc2016
17,Denis MARGALIK,ARG,177.65,18,57.71,16,119.94,2016-02-21,fc2016
18,Se Jong BYUN,KOR,176.15,16,58.3,17,117.85,2016-02-21,fc2016
19,Brendan KERRY,AUS,172.26,19,55.83,18,116.43,2016-02-21,fc2016
20,Andrew DODDS,AUS,161.47,13,61.88,21,99.59,2016-02-21,fc2016
21,Chih-I TSAO,TPE,159.13,22,51.83,20,107.3,2016-02-21,fc2016
22,Leslie IP,HKG,152.29,21,54.81,22,97.48,2016-02-21,fc2016
23,Harry Hau Yin LEE,HKG,110.95,23,42.54,23,68.41,2016-02-21,fc2016
