ISU Grand Prix Final 2013-14,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Yuzuru HANYU JPN  6,193.41  102.03,,92.38,-1.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 4S  10.50 -3.00 -3 -3 -3,-3 -3 -3 -3,,-3 -2,7.50,
2 4T  10.30  2.29 3 3 3,2 2 2 2,,2 2,12.59,
3 3F  5.30  1.40 2 2 2,2 2 2 2,,2 3,6.70,
4 StSq3  3.30  1.00 2 2 2,2 2 2 2,,3 1,4.30,
"",Info,,,,Info
5 FCCoSp4  3.50  1.00 2 2 2,2 2 2 2,,3 1,4.50,
6 3A+3T  13.86 x  2.57 2 3 3,2 2 2 3,,3 3,16.43,
7 3A+2T  10.78 x  2.14 2 2 2,2 2 1 3,,3 2,12.92,
8 3Lo  5.61 x  1.00 2 2 1,1 1 2 0,,2 1,6.61,
9 3Lz+1Lo+3S  11.77 x  0.90 1 2 2,1 1 1 1,,2 0,12.67,
10 3Lz  6.60 x  1.30 1 2 2,1 2 2 2,,2 2,7.90,
11 ChSq1  2.00  1.70 3 2 2,3 3 2 3,,2 1,3.70,
12 FCSSp4  3.00  1.00 1 2 2,2 2 2 2,,2 2,4.00,
13 CCoSp1  2.00  0.21 0 1 0,0 1 1 0,,0 1,2.21,
88.52,,,,102.03,
Program Components Factor,,,,,
Skating Skills  2.00 9.00 9.25 8.75,9.25 9.25 9.50 9.00,,9.25 8.75,9.11,
Transition / Linking Footwork  2.00 8.75 9.00 8.50,9.00 9.00 9.25 9.00,,9.25 9.00,9.00,
Performance / Execution  2.00 9.25 9.50 9.25,8.75 9.25 9.50 9.50,,9.50 8.75,9.29,
Choreography / Composition  2.00 9.00 9.25 9.00,9.50 9.50 9.75 9.50,,9.50 9.75,9.43,
Interpretation  2.00 9.00 9.25 8.75,9.50 9.50 9.50 9.50,,9.50 9.25,9.36,
Judges Total Program Component Score (factored),,,,92.38,
Deductions: Falls: -1.00,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Patrick CHAN CAN  5,192.61  97.13,,95.48,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 4T+2T  11.60  1.57 2 2 1,2 2 1 1,,2 1,13.17,
2 4T  10.30  2.43 3 1 2,3 3 2 2,,3 2,12.73,
3 3A  8.50  1.71 2 1 2,2 2 1 2,,1 2,10.21,
4 StSq4  3.90  2.10 3 3 3,3 3 3 2,,3 3,6.00,
5 FSSp4  3.00  1.14 3 1 2,3 2 2 3,,2 2,4.14,
6 3Lz+1Lo+3S  11.77 x  1.20 2 1 1,2 2 1 2,,2 2,12.97,
7 3Lz  6.60 x  0.80 2 0 1,2 1 1 1,,1 1,7.40,
8 3Lo  5.61 x  1.00 2 1 1,2 1 2 1,,2 1,6.61,
9 3F+2T  7.26 x  1.00 1 1 0,2 2 1 2,,2 1,8.26,
10 CCSp4  3.20  1.00 2 2 2,2 2 2 2,,2 2,4.20,
11 2A  3.63 x  1.00 2 1 3,2 2 2 2,,2 2,4.63,
12 ChSq1  2.00  1.90 3 2 3,3 2 3 2,,3 3,3.90,
13 CCoSp3  3.00 -0.09 0 0 -1,0 0 -1 -1,,1 0,2.91,
80.37,,,,97.13,
Program Components Factor,,,,,
Skating Skills  2.00 9.50 9.00 9.50,9.50 9.50 9.50 9.25,,9.50 9.50,9.46,
