11
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Binshu XU,CHN,0,86.27,44.54,41.73,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,Ref,Scores of Panel
1,3Lz+2T,,7.3,False,-1.17,-1,-1,-1,-1,-1,-2,-2,-1,-1,-1,-2,,6.13
2,3Lz,,6.0,False,-0.17,0,0,0,-1,0,0,0,0,-1,-1,0,,5.83
3,3Lo,,5.0,False,0.0,0,0,0,0,0,0,0,0,0,0,0,,5.0
4,3S,,4.5,False,0.5,0,1,0,1,1,0,1,1,0,0,1,,5.0
5,FCSp1,,1.7,False,-0.1,0,0,-1,0,0,0,-1,0,-1,-1,0,,1.6
6,CiSt3,,3.1,False,0.0,0,0,0,0,0,0,0,0,0,0,0,,3.1
7,2A+2A+SEQ,,5.28,False,0.0,0,0,0,-1,0,0,1,0,0,1,0,,5.28
8,LSp3,,2.4,False,0.33,1,1,0,1,1,0,1,1,0,0,1,,2.73
9,CSp1,,1.2,False,-0.45,-1,-2,-1,-1,-2,-2,-2,-1,-1,-2,-2,,0.75
10,3T,,4.4,True,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2.4
11,1T,,0.44,True,-0.02,0,0,0,0,0,0,-1,0,-1,-1,0,,0.42
12,SpSq4,,3.4,False,0.0,1,0,0,-1,0,0,0,0,0,0,0,,3.4
13,3F*<,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
14,CCoSp3,,3.0,False,-0.1,0,0,0,0,1,-1,-1,0,-1,-1,0,,2.9
,,,47.72,,,,,,,,,,,,,,,44.54
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,5.75,5.5,5.25,5.75,6.0,5.5,5.75,5.0,5.25,5.0,5.25,,5.58
,Transition / Linking Footwork  ,,,,1.6,5.25,5.0,4.75,5.0,5.5,5.0,5.5,4.5,4.75,4.25,4.75,,5.08
,Performance / Execution  ,,,,1.6,5.5,5.5,5.0,5.25,5.75,5.0,4.75,4.5,5.0,4.75,4.75,,5.21
,Choreography / Composition  ,,,,1.6,5.5,5.25,5.0,5.25,5.75,4.75,5.0,4.5,5.0,4.75,4.5,,5.17
,Interpretation  ,,,,1.6,5.5,5.25,5.0,5.0,5.5,4.5,4.75,4.75,4.75,5.0,5.0,,5.04
,,,,,,,,,,,,,,,,,,41.73
