11
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
18,Ami PAREKH,IND,0,64.16,33.94,31.22,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,Ref,Scores of Panel
1,FCCoSp4,,3.5,False,0.25,0,0,1,0,1,0,1,1,1,1,1,,3.75
2,2A,,3.3,False,-0.35,-1,0,-1,0,-1,-1,0,0,0,0,-1,,2.95
3,3T+2T,,5.3,False,-1.5,-1,-2,-2,0,-1,-2,-1,-2,-2,-2,-1,,3.8
4,LSp4,,2.6,False,0.5,1,2,1,1,1,0,1,1,1,1,1,,3.1
5,SpSq1,,1.8,False,-0.2,-2,-2,0,0,0,0,-2,0,0,-2,-2,,1.6
6,1S,,0.44,True,-0.13,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-2,,0.31
7,2A,,3.63,True,-1.4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2.23
8,3T,,4.4,True,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,1.4
9,SlSt2,,2.3,False,0.08,0,0,0,0,1,0,1,1,0,1,0,,2.38
10,FCSp3,,2.3,False,-0.2,-1,-1,-1,0,0,0,-1,0,-1,0,-1,,2.1
11,2F+2T,,3.3,True,0.0,0,0,0,0,0,0,-1,0,0,-1,0,,3.3
12,2Lz+2T,,3.52,True,0.0,0,0,0,0,0,0,0,0,0,0,0,,3.52
13,CCoSp4,,3.5,False,0.0,0,0,0,0,0,0,0,1,0,0,0,,3.5
,,,39.89,,,,,,,,,,,,,,,33.94
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,4.25,4.0,4.25,4.25,4.0,4.0,4.0,4.0,4.5,4.75,4.25,,4.13
,Transition / Linking Footwork  ,,,,1.6,3.75,3.75,3.75,3.75,3.75,3.5,3.0,4.0,4.25,4.0,3.75,,3.71
,Performance / Execution  ,,,,1.6,4.0,3.75,4.0,3.75,4.0,3.5,3.5,4.25,4.5,4.5,4.75,,3.83
,Choreography / Composition  ,,,,1.6,4.0,4.0,4.0,4.0,3.75,3.75,3.25,3.75,4.5,4.5,4.0,,3.92
,Interpretation  ,,,,1.6,4.0,3.75,4.0,4.0,4.0,3.5,3.75,3.75,4.5,4.25,4.0,,3.92
,,,,,,,,,,,,,,,,,,31.22
Deduction,Falls,-1.0
