11
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
21,Michele CANTU,MEX,0,60.97,28.65,32.32,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,Ref,Scores of Panel
1,2Lo+2T,,2.8,False,-0.05,0,0,0,0,0,-1,0,0,-1,-1,0,,2.75
2,2S,,1.3,False,0.0,0,0,0,0,0,0,0,0,0,0,0,,1.3
3,1T,,0.4,False,-0.03,0,0,-1,0,0,-1,0,0,-1,-2,-1,,0.37
4,CCoSp4,,3.5,False,-0.1,-1,0,0,0,1,0,-1,1,-1,-1,0,,3.4
5,LSp3,,2.4,False,0.17,0,1,0,1,1,0,0,1,0,0,0,,2.57
6,3S<,,1.43,True,-0.55,-2,-3,-2,-2,-1,-2,-2,-2,-1,-2,-2,,0.88
7,1Lo,,0.55,True,-0.05,0,0,-1,0,0,-1,-1,0,-1,-1,-2,,0.5
8,2A,,3.63,True,0.0,0,-1,0,0,0,0,0,0,0,0,0,,3.63
9,SpSq1,,1.8,False,0.25,1,1,0,0,1,0,1,0,0,1,1,,2.05
10,SlSt2,,2.3,False,0.0,0,0,0,0,0,0,0,0,0,0,-1,,2.3
11,FCSp2,,2.0,False,0.0,0,0,0,0,0,0,0,0,0,0,0,,2.0
12,2A,,3.63,True,-0.23,0,-1,-1,0,0,0,0,0,-1,-2,0,,3.4
13,CCoSp4,,3.5,False,0.0,0,1,0,0,0,0,-1,0,0,-1,0,,3.5
,,,29.24,,,,,,,,,,,,,,,28.65
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,4.75,4.0,4.0,4.0,4.0,4.25,3.75,4.25,4.25,4.5,4.0,,4.08
,Transition / Linking Footwork  ,,,,1.6,4.25,3.75,3.75,3.75,3.75,4.0,3.5,3.75,4.0,4.25,4.0,,3.83
,Performance / Execution  ,,,,1.6,4.5,4.0,3.75,3.5,4.0,4.25,4.0,3.75,4.25,4.5,4.25,,4.04
,Choreography / Composition  ,,,,1.6,4.5,4.25,4.0,3.75,4.0,4.5,4.0,4.0,4.25,4.75,4.0,,4.17
,Interpretation  ,,,,1.6,4.5,4.25,3.75,4.0,4.25,4.25,3.75,3.75,4.0,4.25,4.25,,4.08
,,,,,,,,,,,,,,,,,,32.32
