Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Federica FAIELLA / Massimo SCALI,ITA,176.67,1,35.61,2,53.78,2,87.28,2008-11-30,gpjpn08
2,Nathalie PECHALAT / Fabian BOURZAT,FRA,175.42,2,33.2,1,54.27,1,87.95,2008-11-30,gpjpn08
3,Emily SAMUELSON / Evan BATES,USA,161.45,3,32.18,4,50.92,4,78.35,2008-11-30,gpjpn08
4,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,159.96,6,29.8,5,49.61,3,80.55,2008-11-30,gpjpn08
5,Kristina GORSHKOVA / Vitali BUTIKOV,RUS,159.51,4,31.54,3,51.8,6,76.17,2008-11-30,gpjpn08
6,Kimberly NAVARRO / Brent BOMMENTRE,USA,155.6,5,31.01,6,47.91,5,76.68,2008-11-30,gpjpn08
7,Kaitlyn WEAVER / Andrew POJE,CAN,151.1,7,28.7,7,46.58,7,75.82,2008-11-30,gpjpn08
8,Cathy REED / Chris REED,JPN,135.83,8,27.17,10,39.87,8,68.79,2008-11-30,gpjpn08
9,Xiaoyang YU / Chen WANG,CHN,131.9,9,25.46,8,40.78,9,65.66,2008-11-30,gpjpn08
10,Isabella PAJARDI / Stefano CARUSO,ITA,128.35,10,23.86,9,40.52,10,63.97,2008-11-30,gpjpn08
