ISU GP NHK Trophy 2008,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,+,-,
3 Yannick PONSERO FRA,,74.39  42.04,,32.35,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 4T+2T  11.10 -1.60 0 -1 -1 -1,,-1 -1 -1 -1,,-1 -1 - -,9.50,
2 3A  8.20  0.00 0 0 0 0,,0 0 0 In0fo,,0 0 - -,8.20,Info
3 3Lz  6.00  0.60 1 0 1 1,,0 1 1 1,,1 0 - -,6.60,
4 CCSp4  3.20  0.50 1 1 0 2,,0 1 0 1,,1 1 - -,3.70,
5 SlSt3  3.30  0.50 1 1 1 2,,1 0 1 1,,1 0 - -,3.80,
6 FSSp3  2.60  0.30 0 0 1 1,,0 0 1 1,,1 1 - -,2.90,
7 CiSt3  3.30  0.40 1 1 0 1,,1 0 1 0,,1 0 - -,3.70,
8 CCoSp4  3.50  0.14 1 0 1 -1,,-1 0 1 0,,1 1 - -,3.64,
41.20,,,,,42.04,
Program Components Factor,,,,,,
Skating Skills  1.00 6.50 6.75 6.75 7.00,,6.75 6.75 8.00 6.75,,6.75 6.50 - -,6.70,
Transition / Linking Footwork  1.00 6.00 6.00 5.75 6.25,,6.25 6.50 7.75 5.75,,6.50 5.50 - -,6.05,
Performance / Execution  1.00 6.75 6.25 6.50 6.75,,6.50 6.75 8.00 6.50,,6.50 6.25 - -,6.50,
Choreography / Composition  1.00 6.50 6.50 6.75 6.50,,6.50 6.75 7.75 6.25,,7.00 6.00 - -,6.45,
Interpretation  1.00 7.00 6.50 6.50 6.50,,6.75 6.75 8.00 6.50,,7.00 5.75 - -,6.65,
Judges Total Program Component Score (factored),,,,,32.35,
Deductions:,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,
"",,Total Total,,Total,Total,
NOC,,Segment Element,,Program  Component,Deductions,
Rank Name,,,,,,
Code,,Score Score,,Score (factored),,
"",,= +,,+,-,
4 Takahito MURA JPN,,69.70  39.30,,30.40,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3A  8.20  1.60 2 2 2 2,,1 1 1 2,,1 1 - -,9.80,
2 3Lz+3T  10.00  1.00 1 1 1 1,,0 1 1 1,,1 1 - -,11.00,
3 3F e  5.50 -1.60 -1 -1 -1 -2,,-2 -1 -2 -2,,-1 -2 - -,3.90,
4 SlSt2  2.30  0.20 1 0 0 0,,0 0 0 1,,1 0 - -,2.50,
5 CCoSp4  3.50  0.00 -1 1 0 0,,0 0 0 0,,0 0 - -,3.50,
6 CSSp3  2.60  0.00 1 0 0 0,,0 0 1 0,,0 0 - -,2.60,
7 SeSt2  2.30  0.30 1 1 1 0,,0 0 0 1,,1 0 - -,2.60,
8 FSSp4  3.00  0.40 1 1 1 1,,0 1 -1 0,,1 1 - -,3.40,
37.40,,,,,39.30,
Program Components Factor,,,,,,
Skating Skills  1.00 6.25 6.50 6.75 6.25,,5.50 6.25 5.00 6.25,,6.75 6.25 - -,6.30,
Transition / Linking Footwork  1.00 5.50 6.00 6.25 5.00,,5.00 6.00 4.25 6.25,,6.25 5.50 - -,5.65,
Performance / Execution  1.00 6.25 6.25 6.50 6.00,,5.25 6.25 5.25 6.50,,6.75 6.50 - -,6.30,
Choreography / Composition  1.00 6.00 6.25 6.50 5.75,,5.25 6.00 4.75 6.50,,6.50 5.50 - -,6.00,
Interpretation  1.00 6.50 6.00 6.75 5.75,,5.25 6.00 4.00 6.75,,6.50 6.00 - -,6.15,
Judges Total Program Component Score (factored),,,,,30.40,
Deductions:,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,
ISU GP NHK Trophy 2008,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
5 Stephen CARRIERE USA,,68.99  37.24,,,31.75,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3A  8.20  0.40 1 0 0 0,,0 0 1 1,,1,0 - -,8.60,
2 3F+3T< <  6.80 -2.00 -2 -2 -2 -2,,-2 -2 -3 In-f2o,,-1,-2 - -,4.80,Info
3 CSSp3  2.60  0.50 1 1 1 1,,0 0 1 1,,1,1 - -,3.10,
4 CiSt3  3.30  0.50 1 0 0 1,,1 1 0 1,,1,2 - -,3.80,
5 FSSp4  3.00  0.14 -1 1 0 -1,,0 1 0 1,,0,1 - -,3.14,
6 3Lz  6.00  0.40 1 0 0 0,,0 0 0 1,,1,0 - -,6.40,
7 CCoSp4  3.50  0.20 0 0 0 0,,0 1 0 1,,2,1 - -,3.70,
8 SlSt3  3.30  0.40 1 1 1 0,,0 1 1 1,,2,1 - -,3.70,
36.70,,,,,,37.24,
Program Components Factor,,,,,,,
Skating Skills  1.00 6.25 6.25 6.75 6.25,,6.50 6.75 7.75 6.75,,6.50,6.25 - -,6.35,
Transition / Linking Footwork  1.00 5.75 6.00 6.25 6.00,,6.25 6.50 7.50 6.50,,6.50,6.00 - -,6.15,
Performance / Execution  1.00 6.25 6.25 6.75 6.00,,6.25 6.75 7.50 6.50,,6.75,6.25 - -,6.30,
Choreography / Composition  1.00 6.50 6.25 6.75 6.25,,6.50 6.50 7.50 6.50,,7.00,6.50 - -,6.45,
Interpretation  1.00 6.50 6.00 6.50 6.00,,6.50 6.75 7.25 6.75,,7.25,6.75 - -,6.50,
Judges Total Program Component Score (factored),,,,,,31.75,
Deductions:,,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
6 Kevin REYNOLDS CAN,,67.51  37.46,,,30.05,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 4S+3T  14.30  0.00 0 0 0 1,,0 1 -1 0,,0,-2 - -,14.30,
2 3A< <  3.50 -1.96 -2 -3 -3 -3,,-2 -3 -3 -2,,-2,-3 - -,1.54,
3 3Lz  6.00 -0.20 1 0 0 0,,-1 0 0 0,,0,-1 - -,5.80,
4 FSSp3  2.60  0.04 1 0 -1 1,,-1 0 -1 0,,0,-1 - -,2.64,
5 CiSt3  3.30  0.30 1 1 0 1,,0 0 0 0,,1,0 - -,3.60,
6 CSSp3  2.60 -0.12 1 -1 -1 -1,,0 0 0 0,,0,-2 - -,2.48,
7 SlSt3  3.30  0.20 1 0 0 0,,0 1 0 1,,1,0 - -,3.50,
8 CCoSp4  3.50  0.10 1 0 1 0,,0 1 0 0,,2,0 - -,3.60,
39.10,,,,,,37.46,
Program Components Factor,,,,,,,
Skating Skills  1.00 6.50 5.75 6.75 5.75,,6.25 6.50 5.75 5.75,,6.50,5.75 - -,6.00,
Transition / Linking Footwork  1.00 5.50 5.75 6.25 5.75,,5.75 6.00 5.25 6.00,,6.50,5.50 - -,5.75,
Performance / Execution  1.00 6.25 6.25 6.50 6.00,,5.75 6.50 5.75 6.00,,6.75,6.25 - -,6.15,
Choreography / Composition  1.00 6.50 6.00 6.25 6.00,,6.00 6.25 5.75 6.25,,6.50,5.75 - -,6.15,
Interpretation  1.00 6.00 5.75 6.50 6.00,,6.00 6.50 5.25 6.00,,6.75,6.00 - -,6.00,
Judges Total Program Component Score (factored),,,,,,30.05,
Deductions:,,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
ISU GP NHK Trophy 2008,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
