Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Nobunari ODA,JPN,236.18,1,81.63,1,154.55,2008-11-30,gpjpn08
2,Johnny WEIR,USA,224.42,2,78.15,2,146.27,2008-11-30,gpjpn08
3,Yannick PONSERO,FRA,217.24,3,74.39,3,142.85,2008-11-30,gpjpn08
4,Kevin REYNOLDS,CAN,199.74,6,67.51,4,132.23,2008-11-30,gpjpn08
5,Takahito MURA,JPN,198.07,4,69.7,5,128.37,2008-11-30,gpjpn08
6,Stephen CARRIERE,USA,192.3,5,68.99,6,123.31,2008-11-30,gpjpn08
7,Adrian SCHULTHEISS,SWE,177.75,7,66.31,7,111.44,2008-11-30,gpjpn08
8,Yasuharu NANRI,JPN,167.73,8,63.87,10,103.86,2008-11-30,gpjpn08
9,Andrei LUTAI,RUS,166.36,11,56.34,8,110.02,2008-11-30,gpjpn08
10,Peter LIEBERS,GER,165.9,10,58.27,9,107.63,2008-11-30,gpjpn08
11,Anton KOVALEVSKI,UKR,157.94,9,58.84,12,99.1,2008-11-30,gpjpn08
12,Jamal OTHMAN,SUI,157.9,12,55.94,11,101.96,2008-11-30,gpjpn08
