Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Maxim KOVTUN,RUS,243.34,1,85.96,1,157.38,2014-11-09,gpchn2014
2,Yuzuru HANYU,JPN,237.55,2,82.95,2,154.6,2014-11-09,gpchn2014
3,Richard DORNBUSH,USA,226.73,4,77.23,4,149.5,2014-11-09,gpchn2014
4,Nam NGUYEN,CAN,221.85,6,72.85,5,149.0,2014-11-09,gpchn2014
5,Misha GE,UZB,219.28,7,69.46,3,149.82,2014-11-09,gpchn2014
6,Han YAN,CHN,206.65,3,79.21,7,127.44,2014-11-09,gpchn2014
7,Alexei BYCHENKO,ISR,204.15,5,76.96,8,127.19,2014-11-09,gpchn2014
8,Keiji TANAKA,JPN,189.26,11,56.82,6,132.44,2014-11-09,gpchn2014
9,Jin Seo KIM,KOR,183.46,9,62.46,9,121.0,2014-11-09,gpchn2014
10,Yuhang GUAN,CHN,177.66,8,63.69,10,113.97,2014-11-09,gpchn2014
11,Yi WANG,CHN,160.92,10,57.29,11,103.63,2014-11-09,gpchn2014
