Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Gabriella PAPADAKIS / Guillaume CIZERON,FRA,193.5,1,78.26,1,115.24,2016-11-13,gpfra2016
2,Madison HUBBELL / Zachary DONOHUE,USA,174.58,3,66.77,2,107.81,2016-11-13,gpfra2016
3,Piper GILLES / Paul POIRIER,CAN,170.78,4,64.74,3,106.04,2016-11-13,gpfra2016
4,Elena ILINYKH / Ruslan ZHIGANSHIN,RUS,167.4,2,68.72,4,98.68,2016-11-13,gpfra2016
5,Isabella TOBIAS / Ilia TKACHENKO,ISR,158.86,5,63.7,5,95.16,2016-11-13,gpfra2016
6,Marie-Jade LAURIAULT / Romain LE GAC,FRA,150.07,6,57.37,6,92.7,2016-11-13,gpfra2016
7,Alexandra NAZAROVA / Maxim NIKITIN,UKR,145.39,7,56.61,7,88.78,2016-11-13,gpfra2016
8,Cortney MANSOUR / Michal CESKA,CZE,140.92,8,55.69,8,85.23,2016-11-13,gpfra2016
9,Lorenza ALESSANDRINI / Pierre SOUQUET,FRA,130.12,9,48.18,9,81.94,2016-11-13,gpfra2016
10,Viktoria KAVALIOVA / Yurii BIELIAIEV,BLR,115.04,10,46.81,10,68.23,2016-11-13,gpfra2016
