Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Evgenia MEDVEDEVA,RUS,221.54,1,78.52,1,143.02,2016-11-13,gpfra2016
2,Maria SOTSKOVA,RUS,200.35,3,68.71,2,131.64,2016-11-13,gpfra2016
3,Wakaba HIGUCHI,JPN,194.48,5,65.02,3,129.46,2016-11-13,gpfra2016
4,Gabrielle DALEMAN,CAN,192.1,2,72.7,6,119.4,2016-11-13,gpfra2016
5,So Youn PARK,KOR,185.19,6,64.89,4,120.3,2016-11-13,gpfra2016
6,Laurine LECAVELIER,FRA,184.65,4,66.61,7,118.04,2016-11-13,gpfra2016
7,Mae Berenice MEITE,FRA,172.65,11,52.78,5,119.87,2016-11-13,gpfra2016
8,Gracie GOLD,USA,165.89,10,54.87,8,111.02,2016-11-13,gpfra2016
9,Mao ASADA,JPN,161.39,8,61.29,10,100.1,2016-11-13,gpfra2016
10,Yuka NAGAI,JPN,159.49,12,52.41,9,107.08,2016-11-13,gpfra2016
11,Anastasia GALUSTYAN,ARM,155.49,9,56.92,11,98.57,2016-11-13,gpfra2016
12,Alena LEONOVA,RUS,141.36,7,63.87,12,77.49,2016-11-13,gpfra2016
