Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Javier FERNANDEZ,ESP,285.38,1,96.57,1,188.81,2016-11-13,gpfra2016
2,Denis TEN,KAZ,269.26,3,89.21,3,180.05,2016-11-13,gpfra2016
3,Adam RIPPON,USA,267.53,4,85.25,2,182.28,2016-11-13,gpfra2016
4,Nathan CHEN,USA,264.8,2,92.85,4,171.95,2016-11-13,gpfra2016
5,Takahito MURA,JPN,248.42,6,78.38,5,170.04,2016-11-13,gpfra2016
6,Jorik HENDRICKX,BEL,230.47,5,80.34,8,150.13,2016-11-13,gpfra2016
7,Misha GE,UZB,229.06,8,72.49,6,156.57,2016-11-13,gpfra2016
8,Chafik BESSEGHIER,FRA,225.02,7,77.0,9,148.02,2016-11-13,gpfra2016
9,Artur DMITRIEV,RUS,218.7,11,64.48,7,154.22,2016-11-13,gpfra2016
10,Brendan KERRY,AUS,199.4,9,70.67,10,128.73,2016-11-13,gpfra2016
11,Ivan RIGHINI,ITA,185.81,10,68.42,11,117.39,2016-11-13,gpfra2016
